('Fiona is big.', 'The lion is poor.', False)
('Fiona is big.', 'The falcon is poor.', False)
('Erin is little.', 'The lion is small.', False)
('Erin is little.', 'The lion is small.', False)
('Dave is quiet.', 'The Dave is small.', False)
('Dave is quiet.', 'The Dave is small.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Erin is big.', 'The lion is rough.', False)
('Erin is big.', 'The lion is rough.', False)
('Bob is thin.', 'Thebob is bad.', False)
('Bob is thin.', 'Thebob is bad.', False)
('Fiona is smart.', 'The lion is poor.', False)
('Fiona is smart.', 'The lion is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Fiona is high.', 'The lion is big.', False)
('Fiona is high.', 'The falcon is big.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Alan is imperfect.', 'The Alan is nice.', False)
('Alan is imperfect.', 'The Alan is nice.', False)
('Alan is huge.', 'The Alan is big.', False)
('Alan is huge.', 'The Alan is big.', False)
('Dave is small.', 'The Dave is nice.', False)
('Dave is small.', 'The dog is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Gary is imperfect.', 'The dog is nice.', False)
('Gary is imperfect.', 'The dog is nice.', False)
('Bob is strong.', 'The dog is small.', False)
('Bob is strong.', 'The dog is small.', False)
('Erin is tiny.', 'The lion is small.', False)
('Erin is tiny.', 'The lion is small.', False)
('Anne is kind.', 'The bald eagle is sad.', False)
('Anne is kind.', 'The bald eagle is sad.', False)
('Harry is rough.', 'The Harry is sad.', False)
('Harry is rough.', 'The Harry is sad.', False)
('Alan is high.', 'The Alan is smart.', False)
('Alan is high.', 'The Alan is smart.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Harry is quiet.', 'The Harry is sad.', False)
('Harry is quiet.', 'The Harry is sad.', False)
('Charlie is dull.', 'The Charlie is sad.', False)
('Charlie is dull.', 'The Charlie is sad.', False)
('Gary is strong.', 'The dog is smart.', False)
('Gary is strong.', 'The dog is smart.', False)
('Fiona is thin.', 'The lion is smart.', False)
('Fiona is thin.', 'The lion is smart.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Dave is rough.', 'The dog is smart.', False)
('Dave is rough.', 'The dog is smart.', False)
('Bob is heavy.', 'The Bob is poor.', False)
('Bob is heavy.', 'Thebob is poor.', False)
('Dave is small.', 'The Dave is bad.', False)
('Dave is small.', 'The dog is bad.', False)
('Harry is wealthy.', 'The Harry is bad.', False)
('Harry is wealthy.', 'The Harry is bad.', False)
('Charlie is poor.', 'The Charlie is bad.', False)
('Charlie is poor.', 'The Charlie is bad.', False)
('Fiona is big.', 'The falcon is big.', False)
('Fiona is big.', 'The falcon is big.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Alan is kind.', 'The Alan is small.', False)
('Alan is kind.', 'The Alan is small.', False)
('Bob is poor.', 'The dog is poor.', False)
('Bob is poor.', 'The dog is poor.', False)
('Anne is high.', 'The bald eagle is small.', False)
('Anne is high.', 'The bald eagle is small.', False)
('Bob is thin.', 'The dog is small.', False)
('Bob is thin.', 'The dog is small.', False)
('Fiona is kind.', 'The lion is sad.', False)
('Fiona is kind.', 'The lion is sad.', False)
('Gary is dull.', 'The dog is sad.', False)
('Gary is dull.', 'The dog is sad.', False)
('Fiona is huge.', 'The lion is small.', False)
('Fiona is huge.', 'The lion is small.', False)
('Bob is thin.', 'Thebob is small.', False)
('Bob is thin.', 'Thebob is small.', False)
('Erin is nice.', 'The lion is big.', False)
('Erin is nice.', 'The lion is big.', False)
('Gary is dull.', 'The dog is small.', False)
('Gary is dull.', 'The dog is small.', False)
('Fiona is high.', 'The lion is small.', False)
('Fiona is high.', 'The falcon is small.', False)
('Erin is thin.', 'The lion is sad.', False)
('Erin is thin.', 'The lion is sad.', False)
('Anne is wealthy.', 'The bald eagle is sad.', False)
('Anne is wealthy.', 'The bald eagle is sad.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Erin is heavy.', 'The lion is poor.', False)
('Erin is heavy.', 'The lion is poor.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Charlie is wealthy.', 'The Charlie is small.', False)
('Charlie is wealthy.', 'The Charlie is small.', False)
('Harry is poor.', 'The Harry is poor.', False)
('Harry is poor.', 'The Harry is poor.', False)
('Dave is high.', 'The Dave is big.', False)
('Dave is high.', 'The Dave is big.', False)
('Erin is tiny.', 'The lion is smart.', False)
('Erin is tiny.', 'The lion is smart.', False)
('Alan is smart.', 'The Alan is smart.', False)
('Alan is smart.', 'The Alan is smart.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is high.', 'The lion is small.', False)
('Fiona is high.', 'The lion is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Harry is kind.', 'The Harry is smart.', False)
('Harry is kind.', 'The Harry is smart.', False)
('Gary is imperfect.', 'The dog is big.', False)
('Gary is imperfect.', 'The dog is big.', False)
('Anne is big.', 'The bald eagle is poor.', False)
('Anne is big.', 'The bald eagle is poor.', False)
('Charlie is thin.', 'The Charlie is poor.', False)
('Charlie is thin.', 'The Charlie is poor.', False)
('Erin is clever.', 'The lion is smart.', False)
('Erin is clever.', 'The lion is smart.', False)
('Gary is poor.', 'The dog is poor.', False)
('Gary is poor.', 'The dog is poor.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Anne is small.', 'The bald eagle is slow.', False)
('Anne is small.', 'The bald eagle is short.', False)
('Erin is kind.', 'The lion is poor.', False)
('Erin is kind.', 'The lion is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Erin is high.', 'The lion is small.', False)
('Erin is high.', 'The lion is small.', False)
('Gary is small.', 'The dog is small.', False)
('Gary is small.', 'The dog is small.', False)
('Anne is quiet.', 'The bald eagle is nice.', False)
('Anne is quiet.', 'The bald eagle is bad.', False)
('Alan is imperfect.', 'The Alan is bad.', False)
('Alan is imperfect.', 'The Alan is bad.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Gary is small.', 'The dog is sad.', False)
('Gary is small.', 'The dog is sad.', False)
('Charlie is quiet.', 'The Charlie is big.', False)
('Charlie is quiet.', 'The Charlie is sad.', False)
