('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The leopard attacks the cat.', 'The leopard attacks the cat.', True)
('The leopard attacks the cat.', 'The leopard attacks the cat.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dinosaur is tired.', 'The dinosaur is tired.', True)
('The dinosaur is tired.', 'The dinosaur is tired.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The dinosaur needs the rabbit.', 'The dinosaur needs the rabbit.', True)
('The dinosaur needs the rabbit.', 'The dinosaur needs the rabbit.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The leopard attacks the rabbit.', 'The leopard attacks the rabbit.', True)
('The leopard attacks the rabbit.', 'The leopard attacks the rabbit.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The wolf sees the squirrel.', 'The wolf sees the squirrel.', True)
('The wolf sees the squirrel.', 'The wolf sees the squirrel.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The cheetah sees the dog.', 'The cheetah sees the dog.', True)
