('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The leopard is rough.', 'The leopard is rough.', True)
('The leopard is rough.', 'The leopard is rough.', True)
('The cheetah is strong.', 'The cheetah is rough.', False)
('The cheetah is strong.', 'The cheetah is rough.', False)
('The mouse is funny.', 'The mouse is kind.', False)
('The mouse is funny.', 'The mouse is kind.', False)
('The leopard chases the mouse.', 'The leopard sees the dog.', False)
('The leopard chases the mouse.', 'The leopard sees the dog.', False)
('The rabbit is smart.', 'The rabbit is furry.', False)
('The rabbit is smart.', 'The rabbit is furry.', False)
('The falcon is boring.', 'The falcon is boring.', True)
('The falcon is boring.', 'The falcon is boring.', True)
('The cheetah is obese.', 'The cheetah is heavy.', False)
('The cheetah is obese.', 'The cheetah is heavy.', False)
('The cat is furry.', 'The cat is furry.', True)
('The cat is furry.', 'The cat is furry.', True)
('The falcon needs the cat.', 'The falcon sees the rabbit.', False)
('The falcon needs the cat.', 'The falcon sees the rabbit.', False)
('The squirrel is nice.', 'The squirrel is round.', False)
('The squirrel is nice.', 'The squirrel is round.', False)
('The tiger is reckless.', 'The tiger is sleepy.', False)
('The tiger is reckless.', 'The tiger is sleepy.', False)
('The wolf is fierce.', 'The wolf is small.', False)
('The wolf is fierce.', 'The wolf is small.', False)
('The cat is lovely.', 'The cat is round.', False)
('The cat is lovely.', 'The cat is round.', False)
('The tiger chases the cat.', 'The tiger sees the squirrel.', False)
('The tiger chases the cat.', 'The tiger sees the squirrel.', False)
('The mouse is nice.', 'The mouse is quiet.', False)
('The mouse is nice.', 'The mouse is quiet.', False)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The bald eagle is awful.', 'The bald eagle is strong.', False)
('The bald eagle is awful.', 'The bald eagle is strong.', False)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The bear sees the dog.', 'The bear is sleepy.', False)
('The bear sees the dog.', 'The bear is sleepy.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The snake is slow.', 'The snake is boring.', False)
('The snake is slow.', 'The snake is boring.', False)
('The falcon is awful.', 'The falcon is big.', False)
('The falcon is awful.', 'The falcon is small.', False)
('The dog is adorable.', 'The dog is kind.', False)
('The dog is adorable.', 'The dog is kind.', False)
('The snake likes the dog.', 'The snake visits the mouse.', False)
('The snake likes the dog.', 'The snake visits the mouse.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The cheetah is dull.', 'The cheetah is sleepy.', False)
('The cheetah is dull.', 'The cheetah is sleepy.', False)
('The bald eagle is heavy.', 'The bald eagle is strong.', False)
('The bald eagle is heavy.', 'The bald eagle is strong.', False)
('The mouse is furry.', 'The mouse is funny.', False)
('The mouse is furry.', 'The mouse is funny.', False)
('The cheetah needs the mouse.', 'The cheetah likes the rabbit.', False)
('The cheetah needs the mouse.', 'The cheetah likes the rabbit.', False)
('The rabbit is quiet.', 'The rabbit is nice.', False)
('The rabbit is quiet.', 'The rabbit is nice.', False)
('The wolf is lazy.', 'The wolf is quiet.', False)
('The wolf is lazy.', 'The wolf is quiet.', False)
('The falcon is strong.', 'The falcon is big.', False)
('The falcon is strong.', 'The falcon is big.', False)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The wolf attacks the cat.', 'The wolf is slow.', False)
('The wolf attacks the cat.', 'The wolf is slow.', False)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The lion is reckless.', 'The lion is rough.', False)
('The lion is reckless.', 'The lion is rough.', False)
('The crocodile is heavy.', 'The crocodile is fierce.', False)
('The crocodile is heavy.', 'The crocodile is fierce.', False)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The lion visits the squirrel.', 'The lion chases the rabbit.', False)
('The lion visits the squirrel.', 'The lion chases the rabbit.', False)
('The mouse is kind.', 'The mouse is smart.', False)
('The mouse is kind.', 'The mouse is smart.', False)
('The bald eagle is reckless.', 'The bald eagle is beautiful.', False)
('The bald eagle is reckless.', 'The bald eagle is beautiful.', False)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The rabbit is cute.', 'The rabbit is small.', False)
('The rabbit is cute.', 'The rabbit is small.', False)
('The bald eagle attacks the rabbit.', 'The bald eagle attacks the rabbit.', True)
('The bald eagle attacks the rabbit.', 'The bald eagle attacks the rabbit.', True)
('The dog is smart.', 'The dog is nice.', False)
('The dog is smart.', 'The dog is nice.', False)
('The lion is boring.', 'The lion is rough.', False)
('The lion is boring.', 'The lion is rough.', False)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The cat is funny.', 'The cat is quiet.', False)
('The cat is funny.', 'The cat is quiet.', False)
('The lion likes the cat.', 'The lion attacks the dog.', False)
('The lion likes the cat.', 'The lion attacks the dog.', False)
('The hamster is smart.', 'The hamster is reckless.', False)
('The hamster is smart.', 'The hamster is reckless.', False)
('The bald eagle is dull.', 'The bald eagle is boring.', False)
('The bald eagle is dull.', 'The bald eagle is boring.', False)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The bald eagle needs the squirrel.', 'The bald eagle needs the squirrel.', True)
('The bald eagle needs the squirrel.', 'The bald eagle needs the squirrel.', True)
('The squirrel is nice.', 'The squirrel is smart.', False)
('The squirrel is nice.', 'The squirrel is smart.', False)
('The wolf is angry.', 'The wolf is nice.', False)
('The wolf is angry.', 'The wolf is nice.', False)
('The snake is heavy.', 'The snake is big.', False)
('The snake is heavy.', 'The snake is big.', False)
('The dog is funny.', 'The dog is furry.', False)
('The dog is funny.', 'The dog is furry.', False)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The rabbit is round.', 'The rabbit is heavy.', False)
('The rabbit is round.', 'The rabbit is heavy.', False)
('The wolf is rough.', 'The wolf is rough.', True)
('The wolf is rough.', 'The wolf is rough.', True)
('The lion is fierce.', 'The lion is fierce.', True)
