('Fiona is high.', 'The lion is strong.', False)
('Fiona is high.', 'The lion is strong.', False)
('Erin is little.', 'The bald eagle is small.', False)
('Erin is little.', 'The bald eagle is small.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Harry is dull.', 'The bald eagle is strong.', False)
('Harry is dull.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Bob is short.', 'The Bob is small.', False)
('Bob is short.', 'The Bob is small.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Dave is bad.', 'The Dave is rough.', False)
('Dave is bad.', 'The Dave is rough.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Fiona is thin.', 'The lion is slow.', False)
('Fiona is thin.', 'The lion is slow.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Gary is poor.', 'The bald eagle is heavy.', False)
('Gary is poor.', 'The bald eagle is strong.', False)
('Fiona is huge.', 'The lion is strong.', False)
('Fiona is huge.', 'The lion is strong.', False)
('Charlie is little.', 'The Charlie is Charlie.', False)
('Charlie is little.', 'The Charlie is Charlie.', False)
('Erin is nice.', 'The bald eagle is strong.', False)
('Erin is nice.', 'The bald eagle is strong.', False)
('Harry is bad.', 'The Harry is dull.', False)
('Harry is bad.', 'The Harry is dull.', False)
('Harry is huge.', 'The bald eagle is strong.', False)
('Harry is huge.', 'The bald eagle is strong.', False)
('Anne is little.', 'The Anne is small.', False)
('Anne is little.', 'The Anne is small.', False)
('Alan is wealthy.', 'The Alan is nice.', False)
('Alan is wealthy.', 'The Alan is nice.', False)
('Erin is imperfect.', 'The bald eagle is angry.', False)
('Erin is imperfect.', 'The bald eagle is<extra_id_0>.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Fiona is wealthy.', 'The ficon is smart.', False)
('Fiona is wealthy.', 'The falcon is smart.', False)
('Erin is imperfect.', 'The bald eagle is angry.', False)
('Erin is imperfect.', 'The bald eagle is angry.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Erin is small.', 'The bald eagle is small.', False)
('Erin is small.', 'The bald eagle is small.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Anne is poor.', 'The Anne is poor.', False)
('Anne is poor.', 'The Anne is poor.', False)
('Alan is high.', 'The Alan is strong.', False)
('Alan is high.', 'The Alan is strong.', False)
('Harry is small.', 'The bald eagle is strong.', False)
('Harry is small.', 'The bald eagle is strong.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Erin is rough.', 'The bear is rough.', False)
('Erin is rough.', 'The bear is rough.', False)
('Anne is strong.', 'The lion is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Fiona is tiny.', 'The lion is slow.', False)
('Fiona is tiny.', 'The lion is poor.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Gary is strong.', 'The Gary is strong.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Bob is thin.', 'The Bob is small.', False)
('Bob is thin.', 'The bear is Bob.', False)
('Charlie is kind.', 'The Charlie is nice.', False)
('Charlie is kind.', 'The Charlie is nice.', False)
('Dave is imperfect.', 'The Dave is angry.', False)
('Dave is imperfect.', 'The Dave is imperfect.', False)
('Bob is heavy.', 'The Bob is heavy.', False)
('Bob is heavy.', 'The Bob is heavy.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Anne is bad.', 'The Anne is rough.', False)
('Anne is bad.', 'The Anne is rough.', False)
('Anne is heavy.', 'The anne is heavy.', False)
('Anne is heavy.', 'The lion is heavy.', False)
('Harry is small.', 'The bald eagle is small.', False)
