('The dog is quiet.', 'Charlie is quiet.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The leopard is slow.', 'Charlie is quiet.', False)
('The leopard is slow.', 'Charlie is quiet.', False)
('The falcon is obese.', 'Fiona is heavy.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The cat is beautiful.', 'Charlie is small.', False)
('The cat is beautiful.', 'Charlie is small.', False)
('The leopard attacks the cat.', 'Charlie is heavy.', False)
('The leopard attacks the cat.', 'Charlie is heavy.', False)
('The dog is nice.', 'Fiona is small.', False)
('The dog is nice.', 'Fiona is small.', False)
('The dinosaur is tired.', 'Dave is sad.', False)
('The dinosaur is tired.', 'Dave is sad.', False)
('The lion is big.', 'Anne is big.', False)
('The lion is big.', 'Harry is big.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The dinosaur needs the rabbit.', 'Dave is fierce.', False)
('The dinosaur needs the rabbit.', 'Dave is poor.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The leopard is angry.', 'Charlie is bad.', False)
('The leopard is angry.', 'Charlie is bad.', False)
('The wolf is awful.', 'Fiona is strong.', False)
('The wolf is awful.', 'Fiona is strong.', False)
('The rabbit is furry.', 'Anne is round.', False)
('The rabbit is furry.', 'Anne is round.', False)
('The leopard attacks the rabbit.', 'Charlie is strong.', False)
('The leopard attacks the rabbit.', 'Charlie is strong.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The wolf is sleepy.', 'Fiona is obese.', False)
('The wolf is sleepy.', 'Fiona is obese.', False)
('The tiger is obese.', 'Gary is heavy.', False)
('The tiger is obese.', 'Gary is heavy.', False)
('The squirrel is lovely.', 'Charlie is obese.', False)
('The squirrel is lovely.', 'Charlie is obese.', False)
('The wolf sees the squirrel.', 'Fiona is imperfect.', False)
('The wolf sees the squirrel.', 'Fiona is imperfect.', False)
('The hamster is round.', 'Harry is kind.', False)
('The hamster is round.', 'Harry is quiet.', False)
('The cheetah is tired.', 'Che.', False)
('The cheetah is tired.', 'Che.', False)
('The snake is heavy.', 'Anne is sad.', False)
('The snake is heavy.', 'Anne is sad.', False)
('The dog is beautiful.', 'Fiona is dog.', False)
('The dog is beautiful.', 'Fiona is dog.', False)
('The cheetah sees the dog.', 'Che.', False)
('The cheetah sees the dog.', 'Che.', False)
('The squirrel is smart.', 'Charlie is huge.', False)
('The squirrel is smart.', 'Charlie is huge.', False)
('The lion is tired.', 'Alan is dull.', False)
('The lion is tired.', 'Alan is dull.', False)
('The snake is obese.', 'Anne is heavy.', False)
('The snake is obese.', 'Anne is huge.', False)
('The cat is cute.', 'Charlie is small.', False)
('The cat is cute.', 'Charlie is small.', False)
('The lion attacks the cat.', 'Anne is huge.', False)
('The lion attacks the cat.', 'Harry is huge.', False)
('The squirrel is kind.', 'Charlie is quiet.', False)
('The squirrel is kind.', 'Charlie is quiet.', False)
('The bald eagle is tired.', 'Erin is bad.', False)
('The bald eagle is tired.', 'Erin is bad.', False)
('The leopard is awful.', 'Charlie is heavy.', False)
('The leopard is awful.', 'Charlie is heavy.', False)
('The dog is furry.', 'Fiona is kind.', False)
('The dog is furry.', 'Fiona is sad.', False)
('The bald eagle needs the dog.', 'Erin is bad.', False)
('The bald eagle needs the dog.', 'Erin is bad.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The wolf is reckless.', 'Fiona is obese.', False)
('The wolf is reckless.', 'Fiona is obese.', False)
('The snake is strong.', 'Anne is strong.', False)
('The snake is strong.', 'Anne is strong.', False)
('The mouse is adorable.', 'Charlie is obese.', False)
('The mouse is adorable.', 'Charlie is obese.', False)
('The wolf attacks the mouse.', 'Fiona is imperfect.', False)
