('The squirrel is kind.', 'Charlie is small.', False)
('The squirrel is kind.', 'Charlie is small.', False)
('The crocodile is lazy.', 'Charlie is dull.', False)
('The crocodile is lazy.', 'Charlie is dull.', False)
('The tiger is strong.', 'Fiona is big.', False)
('The tiger is strong.', 'Gary is big.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The crocodile likes the dog.', 'Charlie is big.', False)
('The crocodile likes the dog.', 'Charlie is big.', False)
('The hamster is kind.', 'Harry is nice.', False)
('The hamster is kind.', 'Harry is nice.', False)
('The wolf is rough.', 'Fiona is sad.', False)
('The wolf is rough.', 'Fiona is sad.', False)
('The dinosaur is big.', 'Dave is sad.', False)
('The dinosaur is big.', 'Dave is sad.', False)
('The squirrel is furry.', 'Charlie is nice.', False)
('The squirrel is furry.', 'Charlie is nice.', False)
('The wolf needs the squirrel.', 'Fiona is rough.', False)
('The wolf needs the squirrel.', 'Fiona is rough.', False)
('The mouse is quiet.', 'Erin is dull.', False)
('The mouse is quiet.', 'Erin is dull.', False)
('The bear is tired.', 'Bob is quiet.', False)
('The bear is tired.', 'Bob is quiet.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The squirrel is lovely.', 'Fiona is small.', False)
('The squirrel is lovely.', 'Fiona is small.', False)
('The bear chases the squirrel.', 'Bob is dull.', False)
('The bear chases the squirrel.', 'Bob is dull.', False)
('The mouse is smart.', 'Charlie is smart.', False)
('The mouse is smart.', 'Charlie is smart.', False)
('The leopard is rough.', 'Charlie is dull.', False)
('The leopard is rough.', 'Charlie is dull.', False)
('The snake is obese.', 'Anne is huge.', False)
('The snake is obese.', 'Anne is huge.', False)
('The dog is funny.', 'Fiona is smart.', False)
('The dog is funny.', 'Charlie is smart.', False)
('The leopard chases the dog.', 'Charlie is huge.', False)
('The leopard chases the dog.', 'Charlie is huge.', False)
('The dog is kind.', 'Fiona is dull.', False)
('The dog is kind.', 'Fiona is dull.', False)
('The leopard is boring.', 'Charlie is lazy.', False)
('The leopard is boring.', 'Charlie is lazy.', False)
('The dinosaur is fierce.', 'Dave is strong.', False)
('The dinosaur is fierce.', 'Dave is fierce.', False)
('The hamster is furry.', 'Harry is small.', False)
('The hamster is furry.', 'Harry is small.', False)
('The leopard sees the hamster.', 'Charlie is dull.', False)
('The leopard sees the hamster.', 'Charlie is dull.', False)
('The mouse is smart.', 'Erin is strong.', False)
('The mouse is smart.', 'Erin is quiet.', False)
('The cheetah is boring.', 'Che.', False)
('The cheetah is boring.', 'Che.', False)
('The lion is fierce.', 'Alan is slow.', False)
('The lion is fierce.', 'Alan is slow.', False)
('The hamster is funny.', 'Harry is mouse.', False)
('The hamster is funny.', 'Harry is mouse.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The rabbit is round.', 'Anne is nice.', False)
('The rabbit is round.', 'Anne is nice.', False)
('The lion is slow.', 'Bob is rabbit.', False)
('The lion is slow.', 'Bob is rabbit.', False)
('The snake is heavy.', 'Anne is rabbit.', False)
('The snake is heavy.', 'Anne is rabbit.', False)
('The squirrel is small.', 'Charlie is nice.', False)
('The squirrel is small.', 'Charlie is nice.', False)
('The lion likes the squirrel.', 'Bob is heavy.', False)
('The lion likes the squirrel.', 'Bob is heavy.', False)
('The dog is nice.', 'Charlie is smart.', False)
('The dog is nice.', 'Charlie is smart.', False)
('The falcon is lazy.', 'Fiona is angry.', False)
('The falcon is lazy.', 'Fiona is angry.', False)
('The wolf is strong.', 'Fiona is angry.', False)
('The wolf is strong.', 'Fiona is angry.', False)
('The rabbit is beautiful.', 'Anne is smart.', False)
('The rabbit is beautiful.', 'Anne is smart.', False)
('The falcon attacks the rabbit.', 'Fiona is strong.', False)
('The falcon attacks the rabbit.', 'Fiona is strong.', False)
('The cat is kind.', 'Charlie is kind.', False)
('The cat is kind.', 'Charlie is kind.', False)
('The snake is reckless.', 'Anne is rough.', False)
('The snake is reckless.', 'Anne is rough.', False)
('The lion is strong.', 'Bob is huge.', False)
('The lion is strong.', 'Bob is huge.', False)
('The mouse is cute.', 'Erin is kind.', False)
('The mouse is cute.', 'Erin is kind.', False)
('The snake needs the mouse.', 'Anne is rough.', False)
('The snake needs the mouse.', 'Anne is rough.', False)
('The hamster is round.', 'Harry is kind.', False)
('The hamster is round.', 'Harry is kind.', False)
('The wolf is boring.', 'Fiona is sad.', False)
('The wolf is boring.', 'Fiona is sad.', False)
('The bald eagle is obese.', 'Erin is huge.', False)
('The bald eagle is obese.', 'Erin is huge.', False)
('The rabbit is adorable.', 'Anne is sad.', False)
('The rabbit is adorable.', 'Anne is sad.', False)
('The wolf visits the rabbit.', 'Fiona is huge.', False)
('The wolf visits the rabbit.', 'Fiona is huge.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The dog is round.', 'Charlie is kind.', False)
('The lion is tired.', 'Alan is dull.', False)
('The lion is tired.', 'Alan is dull.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The cat is lovely.', 'Charlie is kind.', False)
('The cat is lovely.', 'Charlie is kind.', False)
('The lion sees the cat.', 'Bob is dull.', False)
('The lion sees the cat.', 'Bob is dull.', False)
