('The cat is smart.', 'Erin is smart.', False)
('The cat is smart.', 'Erin is smart.', False)
('The dinosaur is dull.', 'Erin is dull.', False)
('The dinosaur is dull.', 'Erin is dull.', False)
('The snake is awful.', 'is huge.', False)
('The snake is awful.', 'Erin is huge.', False)
('The hamster is beautiful.', 'is nice.', False)
('The hamster is beautiful.', 'is nice.', False)
('The dinosaur likes the hamster.', 'Erin is slow.', False)
('The dinosaur likes the hamster.', 'Erin is slow.', False)
('The cat is smart.', 'Erin is smart.', False)
('The cat is smart.', 'Erin is smart.', False)
('The wolf is sleepy.', 'is smart.', False)
('The wolf is sleepy.', 'is smart.', False)
('The falcon is big.', 'Fiona is big.', False)
('The falcon is big.', 'Fiona is big.', False)
('The squirrel is funny.', 'Fiona is smart.', False)
('The squirrel is funny.', 'Fiona is smart.', False)
('The wolf likes the squirrel.', 'is sad.', False)
('The wolf likes the squirrel.', 'Charlie is bad.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The cheetah is slow.', 'Erin is slow.', False)
('The cheetah is slow.', 'Erin is slow.', False)
('The wolf is strong.', 'is strong.', False)
('The wolf is strong.', 'Erin is strong.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The cheetah visits the dog.', 'Erin is strong.', False)
('The cheetah visits the dog.', 'Erin is strong.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The falcon is lazy.', 'Fiona is kind.', False)
('The falcon is lazy.', 'Fiona is kind.', False)
('The lion is awful.', 'Erin is fierce.', False)
('The lion is awful.', 'Erin is fierce.', False)
('The squirrel is lovely.', 'is kind.', False)
('The squirrel is lovely.', 'Erin is kind.', False)
('The falcon sees the squirrel.', 'Fiona is slow.', False)
('The falcon sees the squirrel.', 'Fiona is slow.', False)
('The dog is smart.', 'Erin is smart.', False)
('The dog is smart.', 'Erin is smart.', False)
('The tiger is reckless.', 'Erin is lazy.', False)
('The tiger is reckless.', 'Erin is lazy.', False)
('The cheetah is strong.', 'Erin is obese.', False)
('The cheetah is strong.', 'Erin is obese.', False)
('The rabbit is lovely.', 'Alan is smart.', False)
('The rabbit is lovely.', 'is smart.', False)
('The tiger sees the rabbit.', 'Erin is see see is see.', False)
('The tiger sees the rabbit.', 'Erin is see see is see.', False)
('The hamster is round.', 'is round.', False)
('The hamster is round.', 'is round.', False)
('The leopard is reckless.', 'Charlie is  smart.', False)
('The leopard is reckless.', 'Charlie is  smart.', False)
('The crocodile is obese.', 'Cro is obese.', False)
('The crocodile is obese.', 'Cro is obese.', False)
('The dog is lovely.', 'Fiona is small.', False)
('The dog is lovely.', 'Fiona is kind.', False)
('The leopard sees the dog.', 'Charlie is strong.', False)
('The leopard sees the dog.', 'Charlie is strong.', False)
('The mouse is quiet.', 'Erin is small.', False)
('The mouse is quiet.', 'Erin is small.', False)
('The lion is sleepy.', 'Erin is sleep.', False)
('The lion is sleepy.', 'Erin is sleep.', False)
('The bear is awful.', 'Erin is bad.', False)
('The bear is awful.', 'Erin is bad.', False)
('The cat is small.', 'Erin is small.', False)
('The cat is small.', 'Erin is small.', False)
('The lion needs the cat.', 'Erin is lazy.', False)
('The lion needs the cat.', 'Erin is lazy.', False)
('The rabbit is nice.', 'Erin is nice.', False)
('The rabbit is nice.', 'Erin is attack.', False)
('The lion is angry.', 'Erin is angry.', False)
('The lion is angry.', 'Erin is angry.', False)
('The bear is big.', 'Erin is big.', False)
('The bear is big.', 'Erin is big.', False)
('The cat is small.', 'Erin is nice.', False)
('The cat is small.', 'Erin is nice.', False)
('The lion sees the cat.', 'Erin is strong.', False)
('The lion sees the cat.', 'Erin is strong.', False)
('The hamster is quiet.', 'is quiet.', False)
('The hamster is quiet.', 'is quiet.', False)
('The dinosaur is rough.', 'Erin is rough.', False)
('The dinosaur is rough.', 'Erin is rough.', False)
('The bear is big.', 'Erin is big.', False)
('The bear is big.', 'Erin is big.', False)
('The rabbit is cute.', 'Erin is nice.', False)
('The rabbit is cute.', 'Erin is nice.', False)
('The dinosaur attacks the rabbit.', 'Erin is attacks.', False)
('The dinosaur attacks the rabbit.', 'Erin is attacks.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The bald eagle is rough.', 'Erin is slow.', False)
('The bald eagle is rough.', 'Erin is slow.', False)
('The crocodile is big.', 'Cro is slow.', False)
('The crocodile is big.', 'Cro is slow.', False)
('The hamster is small.', 'is small.', False)
('The hamster is small.', 'is quiet.', False)
('The bald eagle sees the hamster.', 'Erin is slow.', False)
('The bald eagle sees the hamster.', 'Erin is slow.', False)
('The dog is smart.', 'Fiona is funny.', False)
('The dog is smart.', 'Fiona is funny.', False)
('The lion is angry.', 'Erin is angry.', False)
('The lion is angry.', 'Erin is angry.', False)
('The tiger is fierce.', 'Erin is obese.', False)
('The tiger is fierce.', 'Erin is obese.', False)
('The cat is funny.', 'Charlie is funny.', False)
('The cat is funny.', 'Charlie is funny.', False)
('The lion attacks the cat.', 'Erin is attack.', False)
('The lion attacks the cat.', 'Erin is attack.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The dinosaur is angry.', 'Erin is angry.', False)
('The dinosaur is angry.', 'Erin is angry.', False)
('The bear is awful.', 'Erin is obese.', False)
('The bear is awful.', 'Erin is obese.', False)
('The rabbit is furry.', 'Alan is fur.', False)
('The rabbit is furry.', 'is quiet.', False)
('The dinosaur attacks the rabbit.', 'Erin is attacks.', False)
