('Fiona is high.', 'Fiona is small.', False)
('Fiona is high.', 'Fiona is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Erin is smart.', 'Erin is clever.', False)
('Erin is smart.', 'Erin is clever.', False)
('Dave is rough.', 'Dave is sad.', False)
('Dave is rough.', 'Dave is sad.', False)
('Alan is high.', 'Alan is strong.', False)
('Alan is high.', 'Alan is strong.', False)
('Harry is little.', 'Harry is small.', False)
('Harry is little.', 'Harry is small.', False)
('Anne is quiet.', 'Anne is clever.', False)
('Anne is quiet.', 'Anne is strong.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Alan is huge.', 'Alan is strong.', False)
('Alan is huge.', 'Alan is strong.', False)
('Gary is thin.', 'Gary is small.', False)
('Gary is thin.', 'Gary is clever.', False)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Alan is heavy.', 'Alan is strong.', False)
('Alan is heavy.', 'Alan is strong.', False)
('Charlie is little.', 'Charlie is clever.', False)
('Charlie is little.', 'Charlie is clever.', False)
('Harry is smart.', 'Harry is clever.', False)
('Harry is smart.', 'Harry is clever.', False)
('Gary is poor.', 'Gary is sad.', False)
('Gary is poor.', 'Gary is sad.', False)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Bob is little.', 'Bob is small.', False)
('Bob is little.', 'Bob is small.', False)
('Erin is wealthy.', 'Erin is clever.', False)
('Erin is wealthy.', 'Erin is clever.', False)
('Harry is dull.', 'Harry is sad.', False)
('Harry is dull.', 'Harry is sad.', False)
('Charlie is heavy.', 'Charlie is high.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Anne is short.', 'Anne is small.', False)
('Anne is short.', 'Anne is small.', False)
('Bob is kind.', 'Bob is kind.', True)
('Bob is kind.', 'Bob is kind.', True)
('Harry is bad.', 'Harry is sad.', False)
('Harry is bad.', 'Harry is sad.', False)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Dave is short.', 'Dave is small.', False)
('Dave is short.', 'Dave is small.', False)
('Bob is wealthy.', 'Bob is smart.', False)
('Bob is wealthy.', 'Bob is smart.', False)
('Erin is bad.', 'Erin is sad.', False)
('Erin is bad.', 'Erin is sad.', False)
