('Fiona is high.', 'Fiona is high.', True)
('Fiona is high.', 'Fiona is high.', True)
('Erin is little.', 'Erin is little.', True)
('Erin is little.', 'Erin is little.', True)
('Alan is kind.', 'Alan is quiet.', False)
('Alan is kind.', 'Alan is quiet.', False)
('Harry is dull.', 'Harry is bad.', False)
('Harry is dull.', 'Harry is bad.', False)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Bob is short.', 'Bob is short.', True)
('Bob is short.', 'Bob is short.', True)
('Harry is nice.', 'Harry is kind.', False)
('Harry is nice.', 'Harry is kind.', False)
('Dave is bad.', 'Dave is sad.', False)
('Dave is bad.', 'Dave is imperfect.', False)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Charlie is nice.', 'Charlie is smart.', False)
('Charlie is nice.', 'Charlie is smart.', False)
('Gary is poor.', 'Gary is imperfect.', False)
('Gary is poor.', 'Gary is imperfect.', False)
('Fiona is huge.', 'Fiona is heavy.', False)
('Fiona is huge.', 'Fiona is heavy.', False)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Erin is nice.', 'Erin is wealthy.', False)
('Erin is nice.', 'Erin is wealthy.', False)
('Harry is bad.', 'Harry is bad.', True)
('Harry is bad.', 'Harry is bad.', True)
('Harry is huge.', 'Harry is heavy.', False)
('Harry is huge.', 'Harry is heavy.', False)
('Anne is little.', 'Anne is little.', True)
('Anne is little.', 'Anne is little.', True)
('Alan is wealthy.', 'Alan is quiet.', False)
('Alan is wealthy.', 'Alan is quiet.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Gary is big.', 'Gary is strong.', False)
('Gary is big.', 'Gary is strong.', False)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Fiona is wealthy.', 'Fiona is nice.', False)
('Fiona is wealthy.', 'Fiona is nice.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Charlie is huge.', 'Charlie is heavy.', False)
('Charlie is huge.', 'Charlie is heavy.', False)
('Erin is small.', 'Erin is little.', False)
('Erin is small.', 'Erin is little.', False)
('Harry is nice.', 'Harry is quiet.', False)
('Harry is nice.', 'Harry is quiet.', False)
('Anne is poor.', 'Anne is sad.', False)
('Anne is poor.', 'Anne is sad.', False)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Harry is small.', 'Harry is short.', False)
('Harry is small.', 'Harry is short.', False)
('Dave is clever.', 'Dave is quiet.', False)
('Dave is clever.', 'Dave is quiet.', False)
('Erin is rough.', 'Erin is imperfect.', False)
('Erin is rough.', 'Erin is imperfect.', False)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Fiona is tiny.', 'Fiona is little.', False)
('Fiona is tiny.', 'Fiona is little.', False)
('Harry is quiet.', 'Harry is smart.', False)
('Harry is quiet.', 'Harry is quiet.', True)
('Dave is poor.', 'Dave is imperfect.', False)
('Dave is poor.', 'Dave is imperfect.', False)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Bob is thin.', 'Bob is thin.', True)
('Bob is thin.', 'Bob is thin.', True)
('Charlie is kind.', 'Charlie is nice.', False)
('Charlie is kind.', 'Charlie is nice.', False)
('Dave is imperfect.', 'Dave is sad.', False)
('Dave is imperfect.', 'Dave is sad.', False)
('Bob is heavy.', 'Bob is strong.', False)
('Bob is heavy.', 'Bob is strong.', False)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Dave is nice.', 'Dave is quiet.', False)
('Dave is nice.', 'Dave is quiet.', False)
('Anne is bad.', 'Anne is bad.', True)
('Anne is bad.', 'Anne is bad.', True)
('Anne is heavy.', 'Anne is heavy.', True)
('Anne is heavy.', 'Anne is heavy.', True)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Bob is nice.', 'Bob is wealthy.', False)
('Bob is nice.', 'Bob is wealthy.', False)
('Dave is dull.', 'Dave is poor.', False)
('Dave is dull.', 'Dave is poor.', False)
('Harry is heavy.', 'Harry is high.', False)
('Harry is heavy.', 'Harry is high.', False)
('Erin is short.', 'Erin is little.', False)
('Erin is short.', 'Erin is little.', False)
('Fiona is kind.', 'Fiona is smart.', False)
('Fiona is kind.', 'Fiona is smart.', False)
('Dave is sad.', 'Dave is poor.', False)
('Dave is sad.', 'Dave is poor.', False)
('Erin is heavy.', 'Erin is heavy.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Dave is short.', 'Dave is thin.', False)
('Dave is short.', 'Dave is thin.', False)
('Alan is smart.', 'Alan is kind.', False)
('Alan is smart.', 'Alan is kind.', False)
('Gary is bad.', 'Gary is poor.', False)
('Gary is bad.', 'Gary is imperfect.', False)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Harry is thin.', 'Harry is thin.', True)
('Harry is thin.', 'Harry is thin.', True)
('Fiona is kind.', 'Fiona is wealthy.', False)
('Fiona is kind.', 'Fiona is wealthy.', False)
('Charlie is bad.', 'Charlie is poor.', False)
