('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The dog is furry.', 'The dog is furry.', True)
('The dog is furry.', 'The dog is furry.', True)
('The leopard chases the dog.', 'The leopard attacks the squirrel.', False)
('The leopard chases the dog.', 'The leopard attacks the squirrel.', False)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The mouse is cute.', 'The mouse is adorable.', False)
('The mouse is cute.', 'The mouse is adorable.', False)
('The tiger attacks the mouse.', 'The tiger attacks the mouse.', True)
('The tiger attacks the mouse.', 'The tiger attacks the mouse.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The snake is boring.', 'The snake is boring.', True)
('The snake is boring.', 'The snake is awful.', False)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The mouse is funny.', 'The mouse is adorable.', False)
('The mouse is funny.', 'The mouse is adorable.', False)
('The snake visits the mouse.', 'The snake needs the cat.', False)
('The snake visits the mouse.', 'The snake needs the cat.', False)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The snake is dull.', 'The snake is dull.', True)
('The snake is dull.', 'The snake is dull.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The squirrel is small.', 'The squirrel is funny.', False)
('The squirrel is small.', 'The squirrel is funny.', False)
('The snake chases the squirrel.', 'The snake chases the squirrel.', True)
('The snake chases the squirrel.', 'The snake chases the squirrel.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The wolf likes the hamster.', 'The wolf likes the hamster.', True)
('The wolf likes the hamster.', 'The wolf likes the hamster.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The dog is lovely.', 'The dog is funny.', False)
('The dog is lovely.', 'The dog is funny.', False)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The wolf chases the squirrel.', 'The wolf chases the squirrel.', True)
('The wolf chases the squirrel.', 'The wolf chases the squirrel.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The squirrel is small.', 'The squirrel is adorable.', False)
('The squirrel is small.', 'The squirrel is adorable.', False)
('The cheetah likes the squirrel.', 'The cheetah likes the squirrel.', True)
('The cheetah likes the squirrel.', 'The cheetah likes the squirrel.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The falcon chases the mouse.', 'The falcon attacks the hamster.', False)
('The falcon chases the mouse.', 'The falcon attacks the hamster.', False)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The falcon sees the squirrel.', 'The falcon visits the hamster.', False)
('The falcon sees the squirrel.', 'The falcon visits the hamster.', False)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The bear is slow.', 'The bear is slow.', True)
('The bear is slow.', 'The bear is slow.', True)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The bear visits the cat.', 'The bear likes the squirrel.', False)
('The bear visits the cat.', 'The bear likes the squirrel.', False)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The leopard is lazy.', 'The leopard is lazy.', True)
('The leopard is lazy.', 'The leopard is lazy.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The leopard chases the mouse.', 'The leopard visits the cat.', False)
('The leopard chases the mouse.', 'The leopard visits the cat.', False)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The cat is small.', 'The cat is small.', True)
('The cat is small.', 'The cat is small.', True)
('The falcon visits the cat.', 'The falcon needs the rabbit.', False)
('The falcon visits the cat.', 'The falcon needs the rabbit.', False)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The bear is sleepy.', 'The bear is sleepy.', True)
('The bear is sleepy.', 'The bear is sleepy.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The rabbit is cute.', 'The rabbit is furry.', False)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The bear chases the rabbit.', 'The bear chases the rabbit.', True)
('The bear chases the rabbit.', 'The bear chases the rabbit.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The dog is cute.', 'The dog is furry.', False)
('The dog is cute.', 'The dog is furry.', False)
('The wolf sees the dog.', 'The wolf is heavy.', False)
('The wolf sees the dog.', 'The wolf is heavy.', False)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The bear is slow.', 'The bear is slow.', True)
('The bear is slow.', 'The bear is slow.', True)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The bear chases the cat.', 'The bear needs the hamster.', False)
('The bear chases the cat.', 'The bear needs the hamster.', False)
('The mouse is smart.', 'The mouse is smart.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The bald eagle visits the squirrel.', 'The bald eagle is slow.', False)
('The bald eagle visits the squirrel.', 'The bald eagle is slow.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The snake is big.', 'The snake is big.', True)
('The snake is big.', 'The snake is big.', True)
('The dog is furry.', 'The dog is small.', False)
('The dog is furry.', 'The dog is furry.', True)
('The crocodile likes the dog.', 'The crocodile sees the mouse.', False)
('The crocodile likes the dog.', 'The crocodile sees the mouse.', False)
('The cat is round.', 'The cat is smart.', False)
('The cat is round.', 'The cat is smart.', False)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The hamster is small.', 'The hamster is small.', True)
('The hamster is small.', 'The hamster is small.', True)
('The lion attacks the hamster.', 'The lion attacks the hamster.', True)
('The lion attacks the hamster.', 'The lion attacks the hamster.', True)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The cheetah visits the mouse.', 'The cheetah visits the mouse.', True)
('The cheetah visits the mouse.', 'The cheetah visits the mouse.', True)
('The squirrel is round.', 'The squirrel is round.', True)
('The squirrel is round.', 'The squirrel is round.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The falcon needs the mouse.', 'The falcon chases the squirrel.', False)
('The falcon needs the mouse.', 'The falcon chases the squirrel.', False)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The lion attacks the rabbit.', 'The lion chases the dog.', False)
('The lion attacks the rabbit.', 'The lion chases the dog.', False)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The squirrel is furry.', 'The squirrel is cute.', False)
('The squirrel is furry.', 'The squirrel is cute.', False)
('The wolf sees the squirrel.', 'The wolf is strong.', False)
('The wolf sees the squirrel.', 'The wolf is strong.', False)
('The dog is round.', 'The dog is smart.', False)
('The dog is round.', 'The dog is smart.', False)
('The falcon is boring.', 'The falcon is boring.', True)
('The falcon is boring.', 'The falcon is boring.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The mouse is furry.', 'The mouse is furry.', True)
('The mouse is furry.', 'The mouse is furry.', True)
('The falcon needs the mouse.', 'The falcon visits the dog.', False)
('The falcon needs the mouse.', 'The falcon visits the dog.', False)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The falcon sees the rabbit.', 'The falcon sees the rabbit.', True)
('The falcon sees the rabbit.', 'The falcon sees the rabbit.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The lion is tired.', 'The lion is tired.', True)
