('The squirrel is quiet.', 'Charlie is small.', False)
('The squirrel is quiet.', 'Charlie is small.', False)
('The snake is slow.', 'Anne is bad.', False)
('The snake is slow.', 'Anne is bad.', False)
('The cheetah is awful.', 'Che.', False)
('The cheetah is awful.', 'Che.', False)
('The cat is funny.', 'Charlie is quiet.', False)
('The cat is funny.', 'Charlie is quiet.', False)
('The snake attacks the cat.', 'Anne is bad.', False)
('The snake attacks the cat.', 'Anne is bad.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The wolf is sleepy.', 'Charlie is sad.', False)
('The wolf is sleepy.', 'Fiona is sad.', False)
('The tiger is heavy.', 'Gary is huge.', False)
('The tiger is heavy.', 'Gary is huge.', False)
('The rabbit is adorable.', 'Anne is sad.', False)
('The rabbit is adorable.', 'Anne is sad.', False)
('The wolf sees the rabbit.', 'Fiona is huge.', False)
('The wolf sees the rabbit.', 'Fiona is huge.', False)
('The mouse is quiet.', 'Anne is quiet.', False)
('The mouse is quiet.', 'Charlie is quiet.', False)
('The tiger is reckless.', 'Gary is rough.', False)
('The tiger is reckless.', 'Gary is che.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The hamster is lovely.', 'Erin is mouse.', False)
('The hamster is lovely.', 'Anne is mouse.', False)
('The tiger attacks the hamster.', 'Gary is che.', False)
('The tiger attacks the hamster.', 'Gary is che.', False)
('The mouse is nice.', 'Charlie is clever.', False)
('The mouse is nice.', 'Charlie is clever.', False)
('The snake is lazy.', 'Anne is dull.', False)
('The snake is lazy.', 'Anne is dull.', False)
('The wolf is big.', 'Fiona is huge.', False)
('The wolf is big.', 'Fiona is huge.', False)
('The hamster is adorable.', 'Harry is thin.', False)
('The hamster is adorable.', 'Harry is thin.', False)
('The snake chases the hamster.', 'Anne is huge.', False)
('The snake chases the hamster.', 'Anne is huge.', False)
('The rabbit is round.', 'Anne is obese.', False)
('The rabbit is round.', 'Anne is obese.', False)
('The wolf is sleepy.', 'Fiona is angry.', False)
('The wolf is sleepy.', 'Fiona is angry.', False)
('The bald eagle is big.', 'Erin is angry.', False)
('The bald eagle is big.', 'Erin is angry.', False)
('The hamster is beautiful.', 'Harry is obese.', False)
('The hamster is beautiful.', 'Harry is obese.', False)
('The wolf likes the hamster.', 'Fiona is huge.', False)
('The wolf likes the hamster.', 'Fiona is huge.', False)
('The hamster is smart.', 'Harry is kind.', False)
('The hamster is smart.', 'Harry is kind.', False)
('The dinosaur is lazy.', 'Dave is obese.', False)
('The dinosaur is lazy.', 'Dave is obese.', False)
('The tiger is heavy.', 'Gary is huge.', False)
('The tiger is heavy.', 'Gary is huge.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The dinosaur attacks the rabbit.', 'Dave is imperfect.', False)
('The dinosaur attacks the rabbit.', 'Dave is imperfect.', False)
('The squirrel is nice.', 'Charlie is obese.', False)
('The squirrel is nice.', 'Charlie is obese.', False)
('The bear is angry.', 'Bob is poor.', False)
('The bear is angry.', 'Bob is poor.', False)
('The dinosaur is obese.', 'Dave is cat.', False)
('The dinosaur is obese.', 'Dave is cat.', False)
('The cat is furry.', 'Charlie is obese.', False)
('The cat is furry.', 'Charlie is obese.', False)
('The bear attacks the cat.', 'Bob is strong.', False)
('The bear attacks the cat.', 'Bob is strong.', False)
('The mouse is smart.', 'Erin isham.', False)
('The mouse is smart.', 'Erin isham.', False)
('The crocodile is dull.', 'Charlie is angry.', False)
('The crocodile is dull.', 'Charlie is angry.', False)
('The wolf is fierce.', 'Fiona is angry.', False)
('The wolf is fierce.', 'Fiona is angry.', False)
('The hamster is funny.', 'Harry is clever.', False)
('The hamster is funny.', 'Harry is clever.', False)
('The crocodile sees the hamster.', 'Charlie is heavy.', False)
('The crocodile sees the hamster.', 'Charlie is heavy.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The cheetah is lazy.', 'Che.', False)
('The cheetah is lazy.', 'Che.', False)
('The snake is big.', 'Anne is dull.', False)
('The snake is big.', 'Anne is dull.', False)
('The hamster is beautiful.', 'Harry is quiet.', False)
('The hamster is beautiful.', 'Harry is quiet.', False)
('The cheetah attacks the hamster.', 'Che.', False)
('The cheetah attacks the hamster.', 'Che.', False)
('The hamster is smart.', 'Harry is huge.', False)
('The hamster is smart.', 'Harry is huge.', False)
('The snake is sleepy.', 'Anne is bad.', False)
('The snake is sleepy.', 'Anne is bad.', False)
('The tiger is awful.', 'Fiona is huge.', False)
('The tiger is awful.', 'Fiona is huge.', False)
('The mouse is small.', 'Charlie is quiet.', False)
('The mouse is small.', 'Charlie is quiet.', False)
('The snake attacks the mouse.', 'Anne is huge.', False)
('The snake attacks the mouse.', 'Anne is huge.', False)
('The mouse is smart.', 'Erin is small.', False)
('The mouse is smart.', 'Erin is small.', False)
('The crocodile is tired.', 'Charlie is sad.', False)
('The crocodile is tired.', 'Charlie is sad.', False)
('The snake is obese.', 'Anne is sad.', False)
('The snake is obese.', 'Anne is sad.', False)
('The rabbit is small.', 'Anne is obese.', False)
('The rabbit is small.', 'Anne is obese.', False)
('The crocodile chases the rabbit.', 'Anne is strong.', False)
('The crocodile chases the rabbit.', 'Erin is strong.', False)
('The squirrel is quiet.', 'Charlie is little.', False)
('The squirrel is quiet.', 'Charlie is little.', False)
('The bald eagle is lazy.', 'Erin is obese.', False)
('The bald eagle is lazy.', 'Erin is obese.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The hamster is furry.', 'Harry is clever.', False)
('The hamster is furry.', 'Harry is clever.', False)
('The bald eagle sees the hamster.', 'Anne is obese.', False)
('The bald eagle sees the hamster.', 'Anne is obese.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The bear is sleepy.', 'Bob is rough.', False)
('The bear is sleepy.', 'Bob is rough.', False)
('The lion is fierce.', 'Alan is sad.', False)
('The lion is fierce.', 'Alan is sad.', False)
('The hamster is cute.', 'Harry is sad.', False)
('The hamster is cute.', 'Harry is sad.', False)
('The bear likes the hamster.', 'Bob is dull.', False)
('The bear likes the hamster.', 'Bob is  sad.', False)
('The hamster is round.', 'Harry is quiet.', False)
('The hamster is round.', 'Harry is quiet.', False)
('The leopard is tired.', 'Charlie is dull.', False)
('The leopard is tired.', 'Charlie is dull.', False)
('The lion is strong.', 'Alan is dull.', False)
('The lion is strong.', 'Alan is dull.', False)
('The squirrel is furry.', 'Charlie is quiet.', False)
('The squirrel is furry.', 'Charlie is quiet.', False)
('The leopard chases the squirrel.', 'Charlie is huge.', False)
('The leopard chases the squirrel.', 'Charlie is huge.', False)
('The rabbit is smart.', 'Anne is dull.', False)
('The rabbit is smart.', 'Anne is dull.', False)
('The lion is sleepy.', 'Alan is dull.', False)
('The lion is sleepy.', 'Alan is dull.', False)
('The tiger is awful.', 'Gary is strong.', False)
('The tiger is awful.', 'Fiona is strong.', False)
('The cat is small.', 'Charlie is dull.', False)
('The cat is small.', 'Charlie is dull.', False)
('The lion visits the cat.', 'Anne is huge.', False)
('The lion visits the cat.', 'Fiona is huge.', False)
('The cat is nice.', 'Charlie is obese.', False)
('The cat is nice.', 'Charlie is obese.', False)
('The tiger is angry.', 'Fiona is obese.', False)
('The tiger is angry.', 'Fiona is obese.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The dog is adorable.', 'Charlie is dull.', False)
('The dog is adorable.', 'Charlie is dull.', False)
('The tiger visits the dog.', 'Gary is huge.', False)
('The tiger visits the dog.', 'Fiona is huge.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The bald eagle is sleepy.', 'Anne iscro.', False)
('The bald eagle is sleepy.', 'Anne iscro.', False)
('The crocodile is heavy.', 'Charlie is heavy.', False)
('The crocodile is heavy.', 'Charlie is heavy.', False)
('The mouse is beautiful.', 'Charlie is quiet.', False)
('The mouse is beautiful.', 'Erin is quiet.', False)
('The bald eagle needs the mouse.', 'Erin iscro.', False)
('The bald eagle needs the mouse.', 'Erin iscro.', False)
('The dog is smart.', 'Charlie is kind.', False)
('The dog is smart.', 'Charlie is kind.', False)
('The falcon is lazy.', 'Fiona is dull.', False)
('The falcon is lazy.', 'Fiona is dull.', False)
('The tiger is awful.', 'Gary is dull.', False)
('The tiger is awful.', 'Gary is dull.', False)
('The cat is cute.', 'Charlie is dull.', False)
('The cat is cute.', 'Charlie is dull.', False)
('The falcon likes the cat.', 'Fiona is big.', False)
('The falcon likes the cat.', 'Fiona is big.', False)
('The dog is nice.', 'Charlie is sleep.', False)
('The dog is nice.', 'Charlie is sleep.', False)
('The leopard is sleepy.', 'Charlie is imperfect.', False)
('The leopard is sleepy.', 'Charlie is imperfect.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The squirrel is small.', 'Charlie is sleep.', False)
('The squirrel is small.', 'Charlie is sleep.', False)
('The leopard visits the squirrel.', 'Charlie is imperfect.', False)
('The leopard visits the squirrel.', 'Charlie is imperfect.', False)
('The rabbit is round.', 'Anne is obese.', False)
('The rabbit is round.', 'Anne is obese.', False)
('The dinosaur is sleepy.', 'Dave is dull.', False)
('The dinosaur is sleepy.', 'Dave is dull.', False)
('The lion is heavy.', 'Alan is dull.', False)
('The lion is heavy.', 'Alan is dull.', False)
('The squirrel is small.', 'Charlie is obese.', False)
('The squirrel is small.', 'Charlie is obese.', False)
('The dinosaur attacks the squirrel.', 'Dave is huge.', False)
('The dinosaur attacks the squirrel.', 'Dave is huge.', False)
('The dog is kind.', 'Charlie is lazy.', False)
('The dog is kind.', 'Charlie is lazy.', False)
('The falcon is lazy.', 'Fiona isbald.', False)
('The falcon is lazy.', 'Fiona isbald.', False)
('The bald eagle is big.', 'Erin isbald.', False)
('The bald eagle is big.', 'Erin isbald.', False)
('The squirrel is lovely.', 'Charlie is lazy.', False)
('The squirrel is lovely.', 'Charlie is lazy.', False)
('The falcon needs the squirrel.', 'Fiona isbald.', False)
('The falcon needs the squirrel.', 'Fiona isbald.', False)
('The squirrel is kind.', 'Charlie is nice.', False)
('The squirrel is kind.', 'Charlie is nice.', False)
('The crocodile is sleepy.', 'Charlie is dull.', False)
('The crocodile is sleepy.', 'Charlie is dull.', False)
('The leopard is heavy.', 'Charlie is dull.', False)
('The leopard is heavy.', 'Charlie is dull.', False)
('The rabbit is cute.', 'Anne is dull.', False)
('The rabbit is cute.', 'Anne is dull.', False)
('The crocodile chases the rabbit.', 'Charlie is huge.', False)
('The crocodile chases the rabbit.', 'Charlie is huge.', False)
('The squirrel is kind.', 'Charlie is    .', False)
('The squirrel is kind.', 'Charlie is    .', False)
('The crocodile is dull.', 'Charlie is rough.', False)
('The crocodile is dull.', 'Charlie is rough.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The cat is funny.', 'Charlie is clever.', False)
('The cat is funny.', 'Charlie is clever.', False)
('The crocodile chases the cat.', 'Erin is huge.', False)
('The crocodile chases the cat.', 'Erin is huge.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The bald eagle is slow.', 'Anne is bad.', False)
('The bald eagle is slow.', 'Anne is awful.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The rabbit is funny.', 'Anne is clever.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The bald eagle likes the rabbit.', 'Bob is strong.', False)
('The bald eagle likes the rabbit.', 'Bob is strong.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The wolf is slow.', 'Fiona is bad.', False)
('The wolf is slow.', 'Fiona is bad.', False)
('The snake is obese.', 'Anne is strong.', False)
('The snake is obese.', 'Anne is strong.', False)
('The cat is adorable.', 'Charlie is clever.', False)
('The cat is adorable.', 'Charlie is clever.', False)
('The wolf sees the cat.', 'Fiona is strong.', False)
('The wolf sees the cat.', 'Fiona is strong.', False)
('The mouse is smart.', 'Charlie is nice.', False)
('The mouse is smart.', 'Charlie is nice.', False)
('The snake is reckless.', 'Anne is bad.', False)
('The snake is reckless.', 'Anne is bad.', False)
('The cheetah is heavy.', 'Che.', False)
('The cheetah is heavy.', 'Che.', False)
('The cat is cute.', 'Charlie is clever.', False)
('The cat is cute.', 'Charlie is clever.', False)
('The snake visits the cat.', 'Anne is bad.', False)
('The snake visits the cat.', 'Anne is bad.', False)
('The squirrel is nice.', 'Charlie is small.', False)
('The squirrel is nice.', 'Charlie is small.', False)
('The bald eagle is angry.', 'Erin is bad.', False)
('The bald eagle is angry.', 'Erin is bad.', False)
('The snake is awful.', 'Anne is strong.', False)
('The snake is awful.', 'Anne is strong.', False)
('The hamster is funny.', 'Harry is bad.', False)
('The hamster is funny.', 'Harry is bad.', False)
('The bald eagle needs the hamster.', 'Erin is bad.', False)
('The bald eagle needs the hamster.', 'Erin is bad.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The leopard is tired.', 'Charlie is quiet.', False)
('The leopard is tired.', 'Charlie is quiet.', False)
('The snake is fierce.', 'Anne is dull.', False)
('The snake is fierce.', 'Anne is dull.', False)
('The squirrel is beautiful.', 'Charlie is quiet.', False)
('The squirrel is beautiful.', 'Charlie is quiet.', False)
('The leopard visits the squirrel.', 'Charlie is huge.', False)
('The leopard visits the squirrel.', 'Charlie is huge.', False)
('The rabbit is kind.', 'Anne is sleep.', False)
('The rabbit is kind.', 'Anne is sleep.', False)
('The cheetah is sleepy.', 'Che.', False)
('The cheetah is sleepy.', 'Che.', False)
('The bear is awful.', 'Bob is rough.', False)
('The bear is awful.', 'Bob is rough.', False)
('The squirrel is lovely.', 'Charlie is rough.', False)
('The squirrel is lovely.', 'Charlie is rough.', False)
('The cheetah needs the squirrel.', 'Che.', False)
('The cheetah needs the squirrel.', 'Che.', False)
('The squirrel is kind.', 'Charlie is lazy.', False)
('The squirrel is kind.', 'Charlie is lazy.', False)
('The snake is lazy.', 'Anne is bad.', False)
('The snake is lazy.', 'Anne is bad.', False)
('The lion is awful.', 'Fiona is big.', False)
('The lion is awful.', 'Bob is big.', False)
('The cat is furry.', 'Charlie is little.', False)
('The cat is furry.', 'Charlie is little.', False)
('The snake likes the cat.', 'Anne is heavy.', False)
('The snake likes the cat.', 'Anne is huge.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The bald eagle is dull.', 'Erin is angry.', False)
('The bald eagle is dull.', 'Erin is angry.', False)
('The crocodile is awful.', 'Erin is angry.', False)
('The crocodile is awful.', 'Erin is angry.', False)
('The mouse is furry.', 'Anne is round.', False)
('The mouse is furry.', 'Anne is round.', False)
('The bald eagle attacks the mouse.', 'Anne is fur.', False)
('The bald eagle attacks the mouse.', 'Anne is fur.', False)
('The rabbit is smart.', 'Anne is small.', False)
('The rabbit is smart.', 'Anne is small.', False)
('The crocodile is angry.', 'Charlie is rough.', False)
('The crocodile is angry.', 'Erin is rough.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The cat is beautiful.', 'Charlie is quiet.', False)
('The cat is beautiful.', 'Charlie is quiet.', False)
('The crocodile needs the cat.', 'Erin is strong.', False)
('The crocodile needs the cat.', 'Erin is strong.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The cheetah is reckless.', 'Che.', False)
('The cheetah is reckless.', 'Che.', False)
('The wolf is obese.', 'Fiona is strong.', False)
('The wolf is obese.', 'Fiona is strong.', False)
('The cat is lovely.', 'Charlie is clever.', False)
('The cat is lovely.', 'Charlie is clever.', False)
('The cheetah sees the cat.', 'Che.', False)
('The cheetah sees the cat.', 'Che.', False)
('The mouse is round.', 'Charlie is nice.', False)
('The mouse is round.', 'Charlie is nice.', False)
('The wolf is tired.', 'Fiona is obese.', False)
('The wolf is tired.', 'Fiona is obese.', False)
('The lion is heavy.', 'Anne is heavy.', False)
('The lion is heavy.', 'Fiona is heavy.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The wolf chases the hamster.', 'Fiona is obese.', False)
('The wolf chases the hamster.', 'Fiona is obese.', False)
('The dog is smart.', 'Charlie is quiet.', False)
('The dog is smart.', 'Charlie is quiet.', False)
('The tiger is angry.', 'Gary is dog.', False)
('The tiger is angry.', 'Gary is dog.', False)
('The bear is strong.', 'Bob is dog.', False)
('The bear is strong.', 'Bob is dog.', False)
('The mouse is cute.', 'Anne is thin.', False)
('The mouse is cute.', 'Anne is thin.', False)
