('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The leopard is rough.', 'The leopard is round.', False)
('The leopard is rough.', 'The leopard is round.', False)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The mouse is funny.', 'The mouse is nice.', False)
('The mouse is funny.', 'The mouse is nice.', False)
('The leopard chases the mouse.', 'The leopard chases the mouse.', True)
('The leopard chases the mouse.', 'The leopard chases the mouse.', True)
('The rabbit is smart.', 'The rabbit is nice.', False)
('The rabbit is smart.', 'The rabbit is nice.', False)
('The falcon is boring.', 'The falcon is boring.', True)
('The falcon is boring.', 'The falcon is boring.', True)
('The cheetah is obese.', 'The cheetah is boring.', False)
('The cheetah is obese.', 'The cheetah is boring.', False)
('The cat is furry.', 'The cat is nice.', False)
('The cat is furry.', 'The cat is nice.', False)
('The falcon needs the cat.', 'The falcon needs the cat.', True)
('The falcon needs the cat.', 'The falcon needs the cat.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The wolf is fierce.', 'The wolf is reckless.', False)
('The wolf is fierce.', 'The wolf is reckless.', False)
('The cat is lovely.', 'The cat is smart.', False)
('The cat is lovely.', 'The cat is smart.', False)
('The tiger chases the cat.', 'The tiger chases the cat.', True)
('The tiger chases the cat.', 'The tiger chases the cat.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The bear is angry.', 'The bear is nice.', False)
('The bear is angry.', 'The bear is nice.', False)
('The bald eagle is awful.', 'The bald eagle is beautiful.', False)
('The bald eagle is awful.', 'The bald eagle is beautiful.', False)
('The dog is small.', 'The dog is beautiful.', False)
('The dog is small.', 'The dog is beautiful.', False)
('The bear sees the dog.', 'The bear sees the dog.', True)
('The bear sees the dog.', 'The bear sees the dog.', True)
('The mouse is smart.', 'The mouse is big.', False)
('The mouse is smart.', 'The mouse is big.', False)
('The snake is slow.', 'The snake is slow.', True)
('The snake is slow.', 'The snake is slow.', True)
('The falcon is awful.', 'The falcon is slow.', False)
('The falcon is awful.', 'The falcon is slow.', False)
('The dog is adorable.', 'The dog is nice.', False)
('The dog is adorable.', 'The dog is nice.', False)
('The snake likes the dog.', 'The snake likes the dog.', True)
('The snake likes the dog.', 'The snake likes the dog.', True)
('The rabbit is quiet.', 'The rabbit is smart.', False)
('The rabbit is quiet.', 'The rabbit is smart.', False)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The bald eagle is heavy.', 'The bald eagle is dull.', False)
('The bald eagle is heavy.', 'The bald eagle is dull.', False)
('The mouse is furry.', 'The mouse is smart.', False)
('The mouse is furry.', 'The mouse is smart.', False)
('The cheetah needs the mouse.', 'The cheetah needs the mouse.', True)
('The cheetah needs the mouse.', 'The cheetah needs the mouse.', True)
('The rabbit is quiet.', 'The rabbit is nice.', False)
('The rabbit is quiet.', 'The rabbit is nice.', False)
('The wolf is lazy.', 'The wolf is beautiful.', False)
('The wolf is lazy.', 'The wolf is beautiful.', False)
('The falcon is strong.', 'The falcon is lazy.', False)
('The falcon is strong.', 'The falcon is lazy.', False)
('The cat is cute.', 'The cat is beautiful.', False)
('The cat is cute.', 'The cat is beautiful.', False)
('The wolf attacks the cat.', 'The wolf attacks the cat.', True)
('The wolf attacks the cat.', 'The wolf attacks the cat.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The lion is reckless.', 'The lion is beautiful.', False)
('The lion is reckless.', 'The lion is beautiful.', False)
('The crocodile is heavy.', 'The crocodile is beautiful.', False)
('The crocodile is heavy.', 'The crocodile is beautiful.', False)
('The squirrel is furry.', 'The squirrel is beautiful.', False)
('The squirrel is furry.', 'The squirrel is beautiful.', False)
('The lion visits the squirrel.', 'The lion visits the squirrel.', True)
('The lion visits the squirrel.', 'The lion visits the squirrel.', True)
('The mouse is kind.', 'The mouse is nice.', False)
('The mouse is kind.', 'The mouse is nice.', False)
('The bald eagle is reckless.', 'The bald eagle is beautiful.', False)
('The bald eagle is reckless.', 'The bald eagle is beautiful.', False)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The bald eagle attacks the rabbit.', 'The bald eagle attacks the rabbit.', True)
('The bald eagle attacks the rabbit.', 'The bald eagle attacks the rabbit.', True)
('The dog is smart.', 'The dog is nice.', False)
('The dog is smart.', 'The dog is nice.', False)
('The lion is boring.', 'The lion is boring.', True)
('The lion is boring.', 'The lion is boring.', True)
