('Fiona is strong.', 'The fion is strong.', False)
('Fiona is strong.', 'The fion is strong.', False)
('Erin is tiny.', 'The erin is small.', False)
('Erin is tiny.', 'The erin is small.', False)
('Dave is smart.', 'The dog is kind.', False)
('Dave is smart.', 'The dog is kind.', False)
('Bob is dull.', 'The cat is sad.', False)
('Bob is dull.', 'The cat is sad.', False)
('Alan is strong.', 'The bald eagle is strong.', False)
('Alan is strong.', 'The bald eagle is strong.', False)
('Bob is tiny.', 'The bob is small.', False)
('Bob is tiny.', 'The bob is small.', False)
('Anne is quiet.', 'The snake is wealthy.', False)
('Anne is quiet.', 'The snake is wealthy.', False)
('Charlie is dull.', 'The cat is imperfect.', False)
('Charlie is dull.', 'The cat is imperfect.', False)
('Harry is huge.', 'The cat is heavy.', False)
('Harry is huge.', 'The bald eagle is high.', False)
('Gary is tiny.', 'The bald eagle is small.', False)
('Gary is tiny.', 'The bald eagle is small.', False)
('Charlie is nice.', 'The cat is nice.', False)
('Charlie is nice.', 'The cat is nice.', False)
('Bob is dull.', 'The bald eagle is poor.', False)
('Bob is dull.', 'The bald eagle is poor.', False)
('Anne is strong.', 'The cat is high.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Alan is little.', 'The Alan is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Bob is clever.', 'The cat is wealthy.', False)
('Bob is clever.', 'The bob is wealthy.', False)
('Fiona is poor.', 'The fion is poor.', False)
('Fiona is poor.', 'The fion is poor.', False)
('Dave is huge.', 'The snake is big.', False)
('Dave is huge.', 'The bald eagle is big.', False)
('Bob is little.', 'The cat is thin.', False)
('Bob is little.', 'The cat is thin.', False)
('Erin is quiet.', 'The er is clever.', False)
('Erin is quiet.', 'The er is clever.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Fiona is high.', 'The lion is big.', False)
('Fiona is high.', 'The lion is big.', False)
('Anne is small.', 'The rabbit is small.', False)
('Anne is small.', 'The bald eagle is small.', False)
('Gary is smart.', 'The bald eagle is smart.', False)
('Gary is smart.', 'The bald eagle is smart.', False)
('Erin is poor.', 'The er is poor.', False)
('Erin is poor.', 'The er is poor.', False)
('Anne is huge.', 'The cat is heavy.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Erin is tiny.', 'The er is small.', False)
('Erin is tiny.', 'The er is small.', False)
('Dave is quiet.', 'The snake is clever.', False)
('Dave is quiet.', 'The dinosaur is clever.', False)
('Harry is bad.', 'The Harry is poor.', False)
('Harry is bad.', 'The Harry is poor.', False)
('Harry is big.', 'The h is big.', False)
('Harry is big.', 'The h is big.', False)
('Erin is small.', 'The erin is short.', False)
('Erin is small.', 'The erin is short.', False)
('Dave is nice.', 'The dog is nice.', False)
('Dave is nice.', 'The dog is nice.', False)
('Bob is bad.', 'The cat is imperfect.', False)
('Bob is bad.', 'The cat is imperfect.', False)
('Erin is big.', 'The er is big.', False)
('Erin is big.', 'The er is big.', False)
('Alan is little.', 'The bald eagle is small.', False)
('Alan is little.', 'The bald eagle is small.', False)
('Charlie is kind.', 'The lion is wealthy.', False)
('Charlie is kind.', 'The lion is wealthy.', False)
('Dave is sad.', 'The dinosaur is rough.', False)
('Dave is sad.', 'The dinosaur is rough.', False)
('Dave is high.', 'The bald eagle is high.', False)
('Dave is high.', 'The bald eagle is high.', False)
('Erin is small.', 'The er is thin.', False)
('Erin is small.', 'The er is thin.', False)
('Bob is quiet.', 'The cat is smart.', False)
('Bob is quiet.', 'The cat is smart.', False)
('Harry is dull.', 'The lion is rough.', False)
('Harry is dull.', 'The lion is rough.', False)
('Bob is heavy.', 'The bald eagle is heavy.', False)
('Bob is heavy.', 'The bald eagle is heavy.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Dave is kind.', 'The dog is nice.', False)
('Dave is kind.', 'The dog is nice.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Erin is huge.', 'The er is big.', False)
('Erin is huge.', 'The er is big.', False)
('Harry is short.', 'The Harry is small.', False)
('Harry is short.', 'The Harry is small.', False)
('Gary is kind.', 'The bald eagle is kind.', False)
('Gary is kind.', 'The bald eagle is kind.', False)
('Charlie is bad.', 'The cat is bad.', False)
('Charlie is bad.', 'The cat is bad.', False)
('Harry is high.', 'The Harry is high.', False)
('Harry is high.', 'The Harry is high.', False)
('Anne is short.', 'The snake is small.', False)
('Anne is short.', 'The snake is small.', False)
('Charlie is smart.', 'The cat is nice.', False)
('Charlie is smart.', 'The cat is nice.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Charlie is huge.', 'The cat is strong.', False)
('Charlie is huge.', 'The cat is strong.', False)
('Gary is thin.', 'The bald eagle is thin.', False)
('Gary is thin.', 'The Gary is thin.', False)
('Dave is kind.', 'The dog is quiet.', False)
('Dave is kind.', 'The bald eagle is quiet.', False)
('Erin is poor.', 'The er is bad.', False)
('Erin is poor.', 'The er is bad.', False)
('Dave is heavy.', 'The snake is heavy.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Alan is small.', 'The bald eagle is small.', False)
('Alan is small.', 'The bald eagle is small.', False)
('Bob is quiet.', 'The bob is kind.', False)
('Bob is quiet.', 'The bald eagle is kind.', False)
('Anne is poor.', 'The snake is poor.', False)
('Anne is poor.', 'The snake is poor.', False)
('Bob is huge.', 'The bald eagle is strong.', False)
('Bob is huge.', 'The bald eagle is strong.', False)
('Fiona is thin.', 'The filion is thin.', False)
('Fiona is thin.', 'The filion is thin.', False)
('Alan is kind.', 'The bald eagle is kind.', False)
('Alan is kind.', 'The bald eagle is kind.', False)
('Erin is sad.', 'The er is bad.', False)
('Erin is sad.', 'The er is bad.', False)
('Charlie is high.', 'The a person is big.', False)
('Charlie is high.', 'The a person is big.', False)
('Harry is short.', 'The lion is small.', False)
('Harry is short.', 'The lion is small.', False)
('Gary is nice.', 'The bald eagle is nice.', False)
('Gary is nice.', 'The bald eagle is nice.', False)
('Erin is bad.', 'The er is bad.', False)
('Erin is bad.', 'The er is bad.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The lion is big.', False)
('Anne is little.', 'The snake is short.', False)
('Anne is little.', 'The snake is short.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Dave is bad.', 'The dinosaur is sad.', False)
('Dave is bad.', 'The dinosaur is sad.', False)
('Charlie is big.', 'The lion is big.', False)
('Charlie is big.', 'The lion is big.', False)
('Fiona is small.', 'The lion is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Gary is kind.', 'The lion is nice.', False)
('Gary is kind.', 'The lion is nice.', False)
('Harry is poor.', 'The lion is sad.', False)
('Harry is poor.', 'The lion is sad.', False)
('Erin is strong.', 'The er is big.', False)
('Erin is strong.', 'The er is big.', False)
('Charlie is little.', 'The lion is small.', False)
('Charlie is little.', 'The lion is small.', False)
('Fiona is smart.', 'The fion is smart.', False)
