('The squirrel is quiet.', 'Erin is funny.', False)
('The squirrel is quiet.', 'Erin is funny.', False)
('The snake is slow.', 'Erin is slow.', False)
('The snake is slow.', 'Erin is slow.', False)
('The cheetah is awful.', 'Erin is bad.', False)
('The cheetah is awful.', 'Erin is bad.', False)
('The cat is funny.', 'Erin is nice.', False)
('The cat is funny.', 'Erin is quiet.', False)
('The snake attacks the cat.', 'Erin is bad.', False)
('The snake attacks the cat.', 'Erin is bad.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The wolf is sleepy.', 'Erin is sad.', False)
('The wolf is sleepy.', 'Erin is sad.', False)
('The tiger is heavy.', 'Erin is heavy.', False)
('The tiger is heavy.', 'Erin is heavy.', False)
('The rabbit is adorable.', 'Erin is kind.', False)
('The rabbit is adorable.', 'Erin is kind.', False)
('The wolf sees the rabbit.', 'Erin is slow.', False)
('The wolf sees the rabbit.', 'Erin is slow.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The tiger is reckless.', 'Erin is reckless.', False)
('The tiger is reckless.', 'Erin is reckless.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The hamster is lovely.', 'is fur.', False)
('The hamster is lovely.', 'is fur.', False)
('The tiger attacks the hamster.', 'Erin is slow.', False)
('The tiger attacks the hamster.', 'Erin is slow.', False)
('The mouse is nice.', 'Erin is clever.', False)
('The mouse is nice.', 'Erin is clever.', False)
('The snake is lazy.', 'is lazy.', False)
('The snake is lazy.', 'is lazy.', False)
('The wolf is big.', 'is big.', False)
('The wolf is big.', 'is big.', False)
('The hamster is adorable.', 'is tiny.', False)
('The hamster is adorable.', 'is tiny.', False)
('The snake chases the hamster.', 'is chase.', False)
('The snake chases the hamster.', 'is chase.', False)
('The rabbit is round.', 'Alan is round.', False)
('The rabbit is round.', 'Alan is round.', False)
('The wolf is sleepy.', 'is sleep.', False)
('The wolf is sleepy.', 'is sleep.', False)
('The bald eagle is big.', 'Charlie is obese.', False)
('The bald eagle is big.', 'Charlie is obese.', False)
('The hamster is beautiful.', 'is kind.', False)
('The hamster is beautiful.', 'is kind.', False)
('The wolf likes the hamster.', 'Charlie is strong.', False)
('The wolf likes the hamster.', 'Charlie is strong.', False)
('The hamster is smart.', 'is smart.', False)
('The hamster is smart.', 'Erin is smart.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The tiger is heavy.', 'Erin is lazy.', False)
('The tiger is heavy.', 'Erin is lazy.', False)
('The rabbit is cute.', 'is nice.', False)
('The rabbit is cute.', 'is nice.', False)
('The dinosaur attacks the rabbit.', 'Erin is lazy.', False)
('The dinosaur attacks the rabbit.', 'Erin is lazy.', False)
('The squirrel is nice.', 'is kind.', False)
('The squirrel is nice.', 'Erin is kind.', False)
('The bear is angry.', 'Erin is fierce.', False)
('The bear is angry.', 'Erin is fierce.', False)
('The dinosaur is obese.', 'Erin is obese.', False)
('The dinosaur is obese.', 'Erin is obese.', False)
('The cat is furry.', 'Erin is fur.', False)
('The cat is furry.', 'Erin is fur.', False)
