('The squirrel is kind.', 'Fiona is bad.', False)
('The squirrel is kind.', 'Fiona is lazy.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The dog is adorable.', 'Fiona is slow.', False)
('The dog is adorable.', 'Fiona is slow.', False)
('The crocodile likes the dog.', 'Cro is obese.', False)
('The crocodile likes the dog.', 'Cro is obese.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The wolf is rough.', 'Fiona is slow.', False)
('The wolf is rough.', 'Charlie is slow.', False)
('The dinosaur is big.', 'Erin is slow.', False)
('The dinosaur is big.', 'Erin is slow.', False)
('The squirrel is furry.', 'Fiona is kind.', False)
('The squirrel is furry.', 'Fiona is kind.', False)
('The wolf needs the squirrel.', 'Charlie is slow.', False)
('The wolf needs the squirrel.', 'Charlie is slow.', False)
('The mouse is quiet.', 'Erin is slow.', False)
('The mouse is quiet.', 'Erin is slow.', False)
('The bear is tired.', 'Erin is slow.', False)
('The bear is tired.', 'Erin is slow.', False)
('The leopard is awful.', 'Charlie is fierce.', False)
('The leopard is awful.', 'Charlie is fierce.', False)
('The squirrel is lovely.', 'Fiona is slow.', False)
('The squirrel is lovely.', 'Fiona is slow.', False)
('The bear chases the squirrel.', 'Erin is high.', False)
('The bear chases the squirrel.', 'Erin is high.', False)
('The mouse is smart.', 'Erin is kind.', False)
('The mouse is smart.', 'Erin is kind.', False)
('The leopard is rough.', 'Charlie is obese.', False)
('The leopard is rough.', 'Charlie is obese.', False)
('The snake is obese.', 'Erin is obese.', False)
('The snake is obese.', 'Erin is obese.', False)
('The dog is funny.', 'Fiona is kind.', False)
('The dog is funny.', 'Fiona is kind.', False)
('The leopard chases the dog.', 'Charlie is chase.', False)
('The leopard chases the dog.', 'Charlie is chase.', False)
('The dog is kind.', 'Fiona is slow.', False)
('The dog is kind.', 'Fiona is slow.', False)
('The leopard is boring.', 'Charlie is slow.', False)
('The leopard is boring.', 'Charlie is slow.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The hamster is furry.', 'Erin is slow.', False)
('The hamster is furry.', 'Erin is slow.', False)
('The leopard sees the hamster.', 'Charlie is fierce.', False)
('The leopard sees the hamster.', 'Charlie is fierce.', False)
('The mouse is smart.', 'Erin is bad.', False)
('The mouse is smart.', 'Erin is bad.', False)
('The cheetah is boring.', 'Erin is obese.', False)
('The cheetah is boring.', 'Erin is obese.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The hamster is funny.', 'is small.', False)
('The hamster is funny.', 'is small.', False)
('The cheetah visits the hamster.', 'Erin is slow.', False)
('The cheetah visits the hamster.', 'Erin is slow.', False)
('The rabbit is round.', 'Fiona is kind.', False)
('The rabbit is round.', 'Alan is kind.', False)
('The lion is slow.', 'Erin is poor.', False)
('The lion is slow.', 'Erin is poor.', False)
('The snake is heavy.', 'Erin is poor.', False)
('The snake is heavy.', 'Erin is poor.', False)
