('Fiona is high.', 'Fiona is high.', True)
('Fiona is high.', 'Fiona is high.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Dave is rough.', 'Dave is rough.', True)
('Dave is rough.', 'Dave is rough.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Harry is little.', 'Harry is little.', True)
('Harry is little.', 'Harry is little.', True)
('Anne is quiet.', 'Anne is quiet.', True)
('Anne is quiet.', 'Anne is quiet.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Alan is huge.', 'Alan is huge.', True)
('Alan is huge.', 'Alan is huge.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Harry is smart.', 'Harry is smart.', True)
('Harry is smart.', 'Harry is smart.', True)
('Gary is poor.', 'Gary is poor.', True)
('Gary is poor.', 'Gary is poor.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Bob is little.', 'Bob is little.', True)
('Bob is little.', 'Bob is little.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Harry is dull.', 'Harry is dull.', True)
('Harry is dull.', 'Harry is dull.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Anne is short.', 'Anne is short.', True)
('Anne is short.', 'Anne is short.', True)
('Bob is kind.', 'Bob is kind.', True)
('Bob is kind.', 'Bob is kind.', True)
('Harry is bad.', 'Harry is bad.', True)
('Harry is bad.', 'Harry is bad.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Dave is short.', 'Dave is short.', True)
('Dave is short.', 'Dave is short.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Erin is bad.', 'Erin is bad.', True)
('Erin is bad.', 'Erin is bad.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Erin is thin.', 'Erin is thin.', True)
('Erin is thin.', 'Erin is thin.', True)
('Gary is quiet.', 'Gary is quiet.', True)
('Gary is quiet.', 'Gary is quiet.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Fiona is big.', 'Fiona is big.', True)
('Fiona is big.', 'Fiona is big.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Alan is clever.', 'Alan is clever.', True)
('Alan is clever.', 'Alan is clever.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Erin is kind.', 'Erin is kind.', True)
('Erin is kind.', 'Erin is kind.', True)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Harry is high.', 'Harry is high.', True)
('Harry is high.', 'Harry is high.', True)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is strong.', 'Dave is strong.', True)
('Dave is strong.', 'Dave is strong.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Harry is clever.', 'Harry is clever.', True)
('Harry is clever.', 'Harry is clever.', True)
('Bob is bad.', 'Bob is bad.', True)
('Bob is bad.', 'Bob is bad.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Bob is short.', 'Bob is short.', True)
('Bob is short.', 'Bob is short.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Anne is sad.', 'Anne is sad.', True)
('Anne is sad.', 'Anne is sad.', True)
('Gary is huge.', 'Gary is huge.', True)
('Gary is huge.', 'Gary is huge.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Bob is small.', 'Bob is small.', True)
('Bob is small.', 'Bob is small.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Bob is clever.', 'Bob is clever.', True)
('Bob is clever.', 'Bob is clever.', True)
('Alan is bad.', 'Alan is bad.', True)
('Alan is bad.', 'Alan is bad.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Dave is little.', 'Dave is little.', True)
('Dave is little.', 'Dave is little.', True)
('Fiona is quiet.', 'Fiona is quiet.', True)
('Fiona is quiet.', 'Fiona is quiet.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Harry is big.', 'Harry is big.', True)
('Harry is big.', 'Harry is big.', True)
('Dave is thin.', 'Dave is thin.', True)
('Dave is thin.', 'Dave is thin.', True)
