('Fiona is high.', 'The lion is lion is lion is lion is lion is lio', False)
('Fiona is high.', 'The lion is lion is lion is lion is lion is lio', False)
('Gary is tiny.', 'The bald eagle is dull.', False)
('Gary is tiny.', 'The bald eagle is dull.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Alan is high.', 'The Alan is strong.', False)
('Alan is high.', 'The Alan is strong.', False)
('Harry is little.', 'The lion is dull.', False)
('Harry is little.', 'The lion is dull.', False)
('Anne is quiet.', 'The lion is quiet.', False)
('Anne is quiet.', 'The lion is quiet.', False)
('Fiona is poor.', 'The ficon is dull.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Alan is huge.', 'The bald eagle is eagle is eagl', False)
('Alan is huge.', 'The bald eagle is eagle is eagl', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Anne is clever.', 'The lion is smart.', False)
('Anne is clever.', 'The lion is smart.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Gary is poor.', 'The bald eagle is poor.', False)
('Gary is poor.', 'The bald eagle is poor.', False)
('Anne is strong.', 'The lion is strong.', False)
('Anne is strong.', 'The lion is strong.', False)
('Bob is little.', 'The bald eagle is short.', False)
('Bob is little.', 'The Bob is short.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Harry is dull.', 'The lion is dull.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Anne is short.', 'The lion is thin.', False)
('Anne is short.', 'The lion is thin.', False)
('Bob is kind.', 'The dog is kind.', False)
('Bob is kind.', 'The Bob is kind.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Bob is wealthy.', 'The dog is nice.', False)
('Bob is wealthy.', 'The bear is nice.', False)
('Erin is bad.', 'The lion is bad.', False)
('Erin is bad.', 'The lion is bad.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Erin is thin.', 'The lion is thin.', False)
('Erin is thin.', 'The lion is thin.', False)
('Gary is quiet.', 'The bald eagle is quiet.', False)
('Gary is quiet.', 'The bald eagle is quiet.', False)
('Fiona is bad.', 'The ficon is bad.', False)
('Fiona is bad.', 'The lion is bad.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Dave is poor.', 'The Dave is big.', False)
('Dave is poor.', 'The Dave is big.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Fiona is small.', 'The ficon is small.', False)
('Fiona is small.', 'The ficon is small.', False)
('Erin is kind.', 'The lion is kind.', False)
('Erin is kind.', 'The lion is kind.', False)
('Anne is dull.', 'The lion is dull.', False)
('Anne is dull.', 'The lion is dull.', False)
('Harry is high.', 'The Harry is strong.', False)
('Harry is high.', 'The Harry is strong.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Bob is wealthy.', 'The dog is nice.', False)
('Bob is wealthy.', 'The bear is nice.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Gary is tiny.', 'The bald eagle is wealthy.', False)
('Gary is tiny.', 'The bald eagle is wealthy.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Dave is bad.', 'The dinosaur is bad.', False)
('Dave is bad.', 'The Dave is bad.', False)
('Dave is strong.', 'The Dave is strong.', False)
('Dave is strong.', 'The Dave is strong.', False)
('Anne is small.', 'The lion is small.', False)
('Anne is small.', 'The lion is small.', False)
('Harry is clever.', 'The Harry is smart.', False)
('Harry is clever.', 'The Harry is smart.', False)
('Bob is bad.', 'The Bob is bad.', False)
('Bob is bad.', 'The Bob is bad.', False)
('Erin is high.', 'The lion is tiger is eagle is lion is big.', False)
('Erin is high.', 'The lion is tiger is eagle is lion is big.', False)
('Bob is short.', 'The bob is short.', False)
('Bob is short.', 'The Bob is short.', False)
('Fiona is smart.', 'The lion is smart.', False)
('Fiona is smart.', 'The lion is smart.', False)
('Anne is sad.', 'The lion is sad.', False)
('Anne is sad.', 'The lion is sad.', False)
('Gary is huge.', 'The bald eagle is big.', False)
('Gary is huge.', 'The bald eagle is big.', False)
('Bob is tiny.', 'The dinosaur is small.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Erin is clever.', 'The bald eagle is kind.', False)
('Erin is clever.', 'The lion is kind.', False)
('Harry is poor.', 'The Harry is dull.', False)
