('The rabbit is nice.', 'Fiona is big.', False)
('The rabbit is nice.', 'Fiona is big.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The dinosaur is strong.', 'Erin is big.', False)
('The dinosaur is strong.', 'Erin is big.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The tiger chases the dog.', 'Erin is big.', False)
('The tiger chases the dog.', 'Erin is big.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The snake is angry.', 'is sad.', False)
('The snake is angry.', 'is sad.', False)
('The bear is awful.', 'Erin is huge.', False)
('The bear is awful.', 'Erin is huge.', False)
('The squirrel is small.', 'Fiona is kind.', False)
('The squirrel is small.', 'Fiona is kind.', False)
('The snake likes the squirrel.', 'is strong.', False)
('The snake likes the squirrel.', 'is strong.', False)
('The hamster is round.', 'is nice.', False)
('The hamster is round.', 'is nice.', False)
('The falcon is tired.', 'Fiona is tired.', False)
('The falcon is tired.', 'Fiona is tired.', False)
('The bear is obese.', 'Erin is obese.', False)
('The bear is obese.', 'Erin is obese.', False)
('The rabbit is cute.', 'is nice.', False)
('The rabbit is cute.', 'Alan is clever.', False)
('The falcon sees the rabbit.', 'Fiona is lazy.', False)
('The falcon sees the rabbit.', 'Fiona is lazy.', False)
('The squirrel is round.', 'Erin is nice.', False)
('The squirrel is round.', 'Erin is nice.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The rabbit is beautiful.', 'is round.', False)
('The rabbit is beautiful.', 'is round.', False)
('The dinosaur visits the rabbit.', 'Erin is visits.', False)
('The dinosaur visits the rabbit.', 'Erin is visits.', False)
('The dog is round.', 'Fiona is round.', False)
('The dog is round.', 'Erin is round.', False)
('The crocodile is rough.', 'Erin is poor.', False)
('The crocodile is rough.', 'Erin is strong.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The wolf is strong.', 'Charlie is strong.', False)
('The squirrel is furry.', 'Erin is fur.', False)
('The squirrel is furry.', 'Erin is fur.', False)
('The crocodile chases the squirrel.', 'Erin is chase.', False)
('The crocodile chases the squirrel.', 'Erin is chase.', False)
('The rabbit is smart.', 'Alan is smart.', False)
('The rabbit is smart.', 'Alan is smart.', False)
('The tiger is sleepy.', 'Erin is sleep.', False)
('The tiger is sleepy.', 'Erin is quiet.', False)
('The dinosaur is big.', 'Erin is big.', False)
('The dinosaur is big.', 'Erin is big.', False)
('The hamster is adorable.', 'is sad.', False)
('The hamster is adorable.', 'is sad.', False)
('The tiger chases the hamster.', 'Erin is chase.', False)
('The tiger chases the hamster.', 'Erin is chase.', False)
('The rabbit is smart.', 'Erin is smart.', False)
('The rabbit is smart.', 'Erin is smart.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The wolf is heavy.', 'is rough.', False)
('The wolf is heavy.', 'is rough.', False)
('The dog is small.', 'Fiona is small.', False)
('The dog is small.', 'Fiona is small.', False)
('The tiger chases the dog.', 'Erin is chase.', False)
('The tiger chases the dog.', 'Erin is chase.', False)
('The rabbit is smart.', 'Erin is smart.', False)
('The rabbit is smart.', 'Erin is smart.', False)
('The tiger is boring.', 'Erin is lazy.', False)
('The tiger is boring.', 'Erin is lazy.', False)
('The crocodile is fierce.', 'Cro is fierce.', False)
('The crocodile is fierce.', 'Cro is fierce.', False)
('The cat is lovely.', 'Erin is smart.', False)
('The cat is lovely.', 'Erin is smart.', False)
('The tiger needs the cat.', 'Erin is  needs needs needs needs needs needs needs needs needs needs needs needs needs needs n', False)
('The tiger needs the cat.', 'Erin is  needs needs needs needs needs needs needs needs needs needs needs needs needs needs n', False)
('The squirrel is kind.', 'S is kind.', False)
('The squirrel is kind.', 'S is kind.', False)
('The dinosaur is reckless.', 'Erin is bad.', False)
('The dinosaur is reckless.', 'Erin is bad.', False)
('The leopard is heavy.', 'Charlie is heavy.', False)
('The leopard is heavy.', 'Charlie is heavy.', False)
('The cat is adorable.', 'Charlie is cute.', False)
('The cat is adorable.', 'Charlie is cute.', False)
('The dinosaur chases the cat.', 'Erin is chase.', False)
('The dinosaur chases the cat.', 'Erin is chase.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The lion is boring.', 'Erin is sad.', False)
('The lion is boring.', 'Erin is poor.', False)
('The cheetah is fierce.', 'Erin is huge.', False)
('The cheetah is fierce.', 'Erin is huge.', False)
('The cat is beautiful.', 'Erin is quiet.', False)
('The cat is beautiful.', 'Erin is quiet.', False)
('The lion chases the cat.', 'Erin is chase.', False)
('The lion chases the cat.', 'Erin is chase.', False)
('The dog is nice.', 'Fiona is nice.', False)
('The dog is nice.', 'Fiona is rough.', False)
('The wolf is rough.', 'is rough.', False)
('The wolf is rough.', 'is rough.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The mouse is cute.', 'Erin is nice.', False)
('The mouse is cute.', 'Erin is nice.', False)
('The wolf sees the mouse.', 'is heavy.', False)
('The wolf sees the mouse.', 'is heavy.', False)
('The rabbit is quiet.', 'is quiet.', False)
('The rabbit is quiet.', 'is quiet.', False)
('The leopard is lazy.', 'Erin is lazy.', False)
('The leopard is lazy.', 'Erin is lazy.', False)
('The snake is obese.', 'is obese.', False)
('The snake is obese.', 'is obese.', False)
('The cat is furry.', 'Erin is quiet.', False)
('The cat is furry.', 'Erin is quiet.', False)
('The leopard needs the cat.', 'Charlie is high.', False)
