('The squirrel is kind.', 'The squirrel is boring.', False)
('The squirrel is kind.', 'The squirrel is boring.', False)
('The crocodile is lazy.', 'The crocodile is boring.', False)
('The crocodile is lazy.', 'The crocodile is boring.', False)
('The tiger is strong.', 'The tiger is obese.', False)
('The tiger is strong.', 'The tiger is obese.', False)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The crocodile likes the dog.', 'The crocodile visits the squirrel.', False)
('The crocodile likes the dog.', 'The crocodile visits the squirrel.', False)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The wolf is rough.', 'The wolf is rough.', True)
('The wolf is rough.', 'The wolf is rough.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The squirrel is furry.', 'The squirrel is beautiful.', False)
('The squirrel is furry.', 'The squirrel is beautiful.', False)
('The wolf needs the squirrel.', 'The wolf chases the hamster.', False)
('The wolf needs the squirrel.', 'The wolf chases the hamster.', False)
('The mouse is quiet.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is quiet.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The bear is tired.', 'The bear is angry.', False)
('The bear is tired.', 'The bear is angry.', False)
('The leopard is awful.', 'The leopard is big.', False)
('The leopard is awful.', 'The leopard is big.', False)
('The squirrel is lovely.', 'The squirrel is kind.', False)
('The squirrel is lovely.', 'The squirrel is kind.', False)
('The bear chases the squirrel.', 'The bear likes the mouse.', False)
('The bear chases the squirrel.', 'The bear likes the mouse.', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The leopard is rough.', 'The leopard is sleepy.', False)
('The leopard is rough.', 'The leopard is sleepy.', False)
('The snake is obese.', 'The snake is heavy.', False)
('The snake is obese.', 'The snake is heavy.', False)
('The dog is funny.', 'The dog is beautiful.', False)
('The dog is funny.', 'The dog is beautiful.', False)
('The leopard chases the dog.', 'The leopard attacks the mouse.', False)
('The leopard chases the dog.', 'The leopard attacks the mouse.', False)
('The dog is kind.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is kind.', 'The dog is are are are are are are are are are are are are are are are', False)
('The leopard is boring.', 'The leopard is slow.', False)
('The leopard is boring.', 'The leopard is slow.', False)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The hamster is furry.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is furry.', 'The hamster is are are are are are are are are are are are are are', False)
('The leopard sees the hamster.', 'The leopard is lazy.', False)
('The leopard sees the hamster.', 'The leopard is lazy.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The cheetah is boring.', 'The cheetah is rough.', False)
('The cheetah is boring.', 'The cheetah is rough.', False)
('The lion is fierce.', 'The lion is fierce.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The hamster is funny.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is funny.', 'The hamster is is is is is is is is is is is is is i', False)
('The cheetah visits the hamster.', 'The cheetah is and and and and are and are and are and', False)
('The cheetah visits the hamster.', 'The cheetah is and and and and are and are and are and', False)
('The rabbit is round.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The rabbit is round.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The lion is slow.', 'The lion is boring.', False)
('The lion is slow.', 'The lion is boring.', False)
('The snake is heavy.', 'The snake is slow.', False)
('The snake is heavy.', 'The snake is slow.', False)
('The squirrel is small.', 'The squirrel is cute.', False)
('The squirrel is small.', 'The squirrel is cute.', False)
('The lion likes the squirrel.', 'The lion chases the rabbit.', False)
('The lion likes the squirrel.', 'The lion chases the rabbit.', False)
('The dog is nice.', 'The dog is kind.', False)
('The dog is nice.', 'The dog is kind.', False)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The wolf is strong.', 'The wolf is awful.', False)
('The rabbit is beautiful.', 'The rabbit is strong.', False)
('The rabbit is beautiful.', 'The rabbit is strong.', False)
('The falcon attacks the rabbit.', 'The falcon sees the dog.', False)
('The falcon attacks the rabbit.', 'The falcon sees the dog.', False)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The snake is reckless.', 'The snake is slow.', False)
('The snake is reckless.', 'The snake is slow.', False)
('The lion is strong.', 'The lion is big.', False)
('The lion is strong.', 'The lion is big.', False)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The snake needs the mouse.', 'The snake is and are and is and are and is and are and is and are an', False)
('The snake needs the mouse.', 'The snake is and are and is and are and is and are and is and are an', False)
('The hamster is round.', 'The hamster is kind.', False)
('The hamster is round.', 'The hamster is kind.', False)
('The wolf is boring.', 'The wolf is boring.', True)
('The wolf is boring.', 'The wolf is boring.', True)
('The bald eagle is obese.', 'The bald eagle is strong.', False)
('The bald eagle is obese.', 'The bald eagle is strong.', False)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The wolf visits the rabbit.', 'The wolf is visits the rabbit.', False)
('The wolf visits the rabbit.', 'The wolf is visits the rabbit.', False)
('The dog is round.', 'The dog is kind.', False)
('The dog is round.', 'The dog is is is kind.', False)
