('The cat is round.', 'Charlie is quiet.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The bear is sleepy.', 'Bob is bad.', False)
('The bear is sleepy.', 'Bob is bad.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The squirrel is adorable.', 'Fiona is small.', False)
('The squirrel is adorable.', 'Fiona is small.', False)
('The bear chases the squirrel.', 'Bob is heavy.', False)
('The bear chases the squirrel.', 'Bob is heavy.', False)
('The mouse is quiet.', 'Erin is huge.', False)
('The mouse is quiet.', 'Erin is bad.', False)
('The cheetah is tired.', 'Che.', False)
('The cheetah is tired.', 'Che.', False)
('The wolf is awful.', 'Fiona is big.', False)
('The wolf is awful.', 'Fiona is big.', False)
('The rabbit is furry.', 'Anne is quiet.', False)
('The rabbit is furry.', 'Anne is quiet.', False)
('The cheetah sees the rabbit.', 'Che.', False)
('The cheetah sees the rabbit.', 'Che.', False)
('The rabbit is smart.', 'Anne is kind.', False)
('The rabbit is smart.', 'Anne is kind.', False)
('The snake is sleepy.', 'Anne is rabbit.', False)
('The snake is sleepy.', 'Anne is rabbit.', False)
('The wolf is heavy.', 'Fiona is rabbit.', False)
('The wolf is heavy.', 'Fiona is rabbit.', False)
('The hamster is small.', 'Harry is wealthy.', False)
('The hamster is small.', 'Harry is wealthy.', False)
('The snake attacks the hamster.', 'Anne is huge.', False)
('The snake attacks the hamster.', 'Anne is huge.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is clever.', False)
('The bear is angry.', 'Bob is sad.', False)
('The bear is angry.', 'Bob is sad.', False)
('The snake is big.', 'Anne is huge.', False)
('The snake is big.', 'Anne is huge.', False)
('The mouse is beautiful.', 'Anne is clever.', False)
('The mouse is beautiful.', 'Erin is clever.', False)
('The bear needs the mouse.', 'Bob is huge.', False)
('The bear needs the mouse.', 'Bob is huge.', False)
('The dog is nice.', 'Charlie is obese.', False)
('The dog is nice.', 'Charlie is obese.', False)
('The wolf is slow.', 'Fiona is bad.', False)
('The wolf is slow.', 'Fiona is bad.', False)
('The dinosaur is big.', 'Dave is big.', False)
('The dinosaur is big.', 'Dave is big.', False)
('The rabbit is funny.', 'Anne is bad.', False)
('The rabbit is funny.', 'Anne is bad.', False)
('The wolf likes the rabbit.', 'Fiona is big.', False)
('The wolf likes the rabbit.', 'Fiona is big.', False)
('The rabbit is kind.', 'Anne is quiet.', False)
('The rabbit is kind.', 'Anne is quiet.', False)
('The falcon is angry.', 'Fiona is bad.', False)
('The falcon is angry.', 'Fiona is bad.', False)
('The lion is awful.', 'Fiona is heavy.', False)
('The lion is awful.', 'Bob is heavy.', False)
('The squirrel is adorable.', 'Fiona is little.', False)
('The squirrel is adorable.', 'Fiona is little.', False)
('The falcon likes the squirrel.', 'Fiona is heavy.', False)
('The falcon likes the squirrel.', 'Fiona is heavy.', False)
('The cat is round.', 'Charlie is kind.', False)
('The cat is round.', 'Charlie is kind.', False)
('The crocodile is dull.', 'Erin is obese.', False)
('The crocodile is dull.', 'Erin is obese.', False)
('The bear is strong.', 'Bob is big.', False)
('The bear is strong.', 'Bob is big.', False)
('The mouse is furry.', 'Erin is clever.', False)
('The mouse is furry.', 'Erin is clever.', False)
('The crocodile likes the mouse.', 'Charlie is poor.', False)
('The crocodile likes the mouse.', 'Charlie is poor.', False)
('The hamster is nice.', 'Harry is small.', False)
('The hamster is nice.', 'Harry is small.', False)
('The tiger is sleepy.', 'Gary is rough.', False)
('The tiger is sleepy.', 'Gary is rough.', False)
('The bear is obese.', 'Bob is huge.', False)
('The bear is obese.', 'Bob is huge.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The tiger sees the rabbit.', 'Gary is huge.', False)
('The tiger sees the rabbit.', 'Gary is huge.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The cat is round.', 'Charlie is kind.', False)
('The cheetah is reckless.', 'Che.', False)
('The cheetah is reckless.', 'Che.', False)
('The lion is big.', 'Alan is squirrel.', False)
('The lion is big.', 'Alan is squirrel.', False)
('The squirrel is cute.', 'Charlie is squirrel.', False)
('The squirrel is cute.', 'Charlie is squirrel.', False)
('The cheetah needs the squirrel.', 'Che.', False)
('The cheetah needs the squirrel.', 'Che.', False)
('The hamster is quiet.', 'Harry is big.', False)
('The hamster is quiet.', 'Harry is big.', False)
('The tiger is reckless.', 'Gary is bad.', False)
('The tiger is reckless.', 'Gary is bad.', False)
('The snake is big.', 'Anne is big.', False)
('The snake is big.', 'Anne is big.', False)
('The mouse is adorable.', 'Erin is kind.', False)
('The mouse is adorable.', 'Erin is kind.', False)
('The tiger needs the mouse.', 'Gary is big.', False)
('The tiger needs the mouse.', 'Gary is big.', False)
('The squirrel is kind.', 'Charlie is obese.', False)
('The squirrel is kind.', 'Charlie is obese.', False)
('The snake is slow.', 'Anne is bad.', False)
('The snake is slow.', 'Anne is bad.', False)
('The crocodile is awful.', 'Erin is big.', False)
('The crocodile is awful.', 'Erin is big.', False)
('The dog is beautiful.', 'Charlie is obese.', False)
('The dog is beautiful.', 'Charlie is obese.', False)
('The snake likes the dog.', 'Anne is big.', False)
('The snake likes the dog.', 'Anne is big.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The crocodile is slow.', 'Erin is imperfect.', False)
('The crocodile is slow.', 'Erin is imperfect.', False)
('The tiger is obese.', 'Fiona is heavy.', False)
('The tiger is obese.', 'Fiona is heavy.', False)
('The hamster is beautiful.', 'Erin is small.', False)
('The hamster is beautiful.', 'Erin is little.', False)
('The crocodile chases the hamster.', 'Erin is imperfect.', False)
('The crocodile chases the hamster.', 'Erin is imperfect.', False)
('The squirrel is kind.', 'Charlie is small.', False)
('The squirrel is kind.', 'Charlie is small.', False)
('The bear is sleepy.', 'Bob is dull.', False)
('The bear is sleepy.', 'Bob is dull.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The dog is small.', 'Charlie is quiet.', False)
('The dog is small.', 'Charlie is quiet.', False)
('The bear chases the dog.', 'Bob is strong.', False)
('The bear chases the dog.', 'Bob is strong.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The lion is slow.', 'Alan is fal.', False)
('The lion is slow.', 'Alan is fal.', False)
('The falcon is awful.', 'Fiona is huge.', False)
('The falcon is awful.', 'Fiona is huge.', False)
('The dog is cute.', 'Charlie is bad.', False)
('The dog is cute.', 'Charlie is bad.', False)
('The lion chases the dog.', 'Alan is bad.', False)
('The lion chases the dog.', 'Alan is bad.', False)
('The hamster is kind.', 'Harry isham.', False)
('The hamster is kind.', 'Harry isham.', False)
('The wolf is reckless.', 'Fiona is rabbit.', False)
('The wolf is reckless.', 'Fiona is rabbit.', False)
('The bear is strong.', 'Bob is strong.', False)
('The bear is strong.', 'Bob is strong.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The wolf needs the rabbit.', 'Fiona is strong.', False)
('The wolf needs the rabbit.', 'Fiona is strong.', False)
('The dog is quiet.', 'Charlie is kind.', False)
('The dog is quiet.', 'Charlie is kind.', False)
('The wolf is slow.', 'Fiona is kind.', False)
('The wolf is slow.', 'Fiona is kind.', False)
('The lion is fierce.', 'Fiona is dull.', False)
('The lion is fierce.', 'Fiona is dull.', False)
('The cat is small.', 'Cat is dull.', False)
('The cat is small.', 'Cat is dull.', False)
('The wolf attacks the cat.', 'Fiona is strong.', False)
('The wolf attacks the cat.', 'Fiona is strong.', False)
('The hamster is quiet.', 'Harry is quiet.', False)
('The hamster is quiet.', 'Harry is quiet.', False)
('The snake is sleepy.', 'Anne is obese.', False)
('The snake is sleepy.', 'Anne is obese.', False)
('The lion is strong.', 'Bob is strong.', False)
('The lion is strong.', 'Bob is strong.', False)
('The squirrel is adorable.', 'Charlie is lazy.', False)
('The squirrel is adorable.', 'Charlie is lazy.', False)
('The snake needs the squirrel.', 'Anne is sad.', False)
('The snake needs the squirrel.', 'Anne is imperfect.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The tiger is lazy.', 'Gary is bad.', False)
('The tiger is lazy.', 'Gary is bad.', False)
('The lion is fierce.', 'Anne is big.', False)
('The lion is fierce.', 'Fiona is big.', False)
('The rabbit is adorable.', 'Anne is bad.', False)
('The rabbit is adorable.', 'Anne is bad.', False)
('The tiger needs the rabbit.', 'Gary is bad.', False)
('The tiger needs the rabbit.', 'Gary is bad.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The lion is boring.', 'Alan is atac.', False)
('The lion is boring.', 'Alan is atac.', False)
('The crocodile is obese.', 'Erin is strong.', False)
('The crocodile is obese.', 'Erin is strong.', False)
('The mouse is beautiful.', 'Anne is quiet.', False)
('The mouse is beautiful.', 'Erin is quiet.', False)
('The lion attacks the mouse.', 'Anne is strong.', False)
('The lion attacks the mouse.', 'Fiona is strong.', False)
('The mouse is quiet.', 'Charlie is clever.', False)
('The mouse is quiet.', 'Erin is clever.', False)
('The bear is lazy.', 'Bob is obese.', False)
('The bear is lazy.', 'Bob is obese.', False)
('The leopard is heavy.', 'Charlie is strong.', False)
('The leopard is heavy.', 'Charlie is fierce.', False)
('The dog is furry.', 'Fiona is kind.', False)
('The dog is furry.', 'Fiona is kind.', False)
('The bear attacks the dog.', 'Bob is imperfect.', False)
('The bear attacks the dog.', 'Bob is imperfect.', False)
('The mouse is kind.', 'Charlie is quiet.', False)
('The mouse is kind.', 'Charlie is quiet.', False)
('The snake is slow.', 'Anne is dull.', False)
('The snake is slow.', 'Anne is dull.', False)
('The crocodile is obese.', 'Erin is huge.', False)
('The crocodile is obese.', 'Erin is huge.', False)
('The squirrel is adorable.', 'Charlie is quiet.', False)
('The squirrel is adorable.', 'Charlie is quiet.', False)
('The snake needs the squirrel.', 'Anne is huge.', False)
('The snake needs the squirrel.', 'Anne is huge.', False)
('The mouse is round.', 'Anne is kind.', False)
('The mouse is round.', 'Erin is kind.', False)
('The leopard is rough.', 'Charlie is bad.', False)
('The leopard is rough.', 'Charlie is awful.', False)
('The snake is awful.', 'Anne is big.', False)
('The snake is awful.', 'Anne is big.', False)
('The rabbit is adorable.', 'Anne is clever.', False)
('The rabbit is adorable.', 'Anne is nice.', False)
('The leopard attacks the rabbit.', 'Charlie is bad.', False)
('The leopard attacks the rabbit.', 'Charlie is bad.', False)
('The hamster is smart.', 'Harry is obese.', False)
('The hamster is smart.', 'Harry is obese.', False)
('The crocodile is rough.', 'Charlie is dull.', False)
('The crocodile is rough.', 'Charlie is dull.', False)
('The lion is heavy.', 'Alan is rabbit.', False)
('The lion is heavy.', 'Alan is dull.', False)
('The rabbit is cute.', 'Anne is small.', False)
('The rabbit is cute.', 'Anne is small.', False)
('The crocodile visits the rabbit.', 'Erin is heavy.', False)
('The crocodile visits the rabbit.', 'Erin is huge.', False)
('The dog is nice.', 'Fiona is huge.', False)
('The dog is nice.', 'Fiona is 15.', False)
('The lion is reckless.', 'Alan is obese.', False)
('The lion is reckless.', 'Alan is obese.', False)
('The wolf is obese.', 'Fiona is mouse.', False)
('The wolf is obese.', 'Fiona is mouse.', False)
('The mouse is furry.', 'Anne is mouse.', False)
('The mouse is furry.', 'Anne is mouse.', False)
('The lion chases the mouse.', 'Alan is huge.', False)
('The lion chases the mouse.', 'Alan is huge.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The lion is reckless.', 'Alan iscro.', False)
('The lion is reckless.', 'Fiona iscro.', False)
('The crocodile is big.', 'Erin iscro.', False)
('The crocodile is big.', 'Erin iscro.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The lion sees the hamster.', 'Alan iscro.', False)
('The lion sees the hamster.', 'Alan iscro.', False)
('The squirrel is nice.', 'Charlie is rabbit.', False)
('The squirrel is nice.', 'Charlie is rabbit.', False)
('The dinosaur is boring.', 'Dave is rabbit.', False)
('The dinosaur is boring.', 'Dave is rabbit.', False)
('The tiger is obese.', 'Gary is rabbit.', False)
('The tiger is obese.', 'Gary is rabbit.', False)
('The rabbit is cute.', 'Anne is rabbit.', False)
('The rabbit is cute.', 'Anne is rabbit.', False)
('The dinosaur visits the rabbit.', 'Dave is huge.', False)
('The dinosaur visits the rabbit.', 'Dave is huge.', False)
('The squirrel is smart.', 'Charlie is kind.', False)
('The squirrel is smart.', 'Charlie is kind.', False)
('The falcon is boring.', 'Fiona is obese.', False)
('The falcon is boring.', 'Fiona is obese.', False)
('The bear is obese.', 'Bob isham.', False)
('The bear is obese.', 'Bob isham.', False)
('The hamster is cute.', 'Harry is clever.', False)
('The hamster is cute.', 'Harry is clever.', False)
('The falcon likes the hamster.', 'Fiona is huge.', False)
('The falcon likes the hamster.', 'Fiona is huge.', False)
('The dog is quiet.', 'Charlie is nice.', False)
('The dog is quiet.', 'Charlie is nice.', False)
('The lion is dull.', 'Alan is bad.', False)
('The lion is dull.', 'Alan is bad.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The rabbit is small.', 'Anne is quiet.', False)
('The rabbit is small.', 'Anne is quiet.', False)
('The lion needs the rabbit.', 'Alan is bad.', False)
('The lion needs the rabbit.', 'Alan is bad.', False)
('The rabbit is nice.', 'Anne is kind.', False)
('The rabbit is nice.', 'Anne is kind.', False)
('The wolf is boring.', 'Fiona is bad.', False)
